Title,Rating,Votes,Duration,Genre
1. Moana 2,6.7, (87K),1h 40m,adventure
2. Flow,7.9, (58K),1h 25m,adventure
3. Gladiator II,6.6, (216K),2h 28m,adventure
4. Sonic the Hedgehog 3,6.9, (52K),1h 50m,adventure
5. Venom: The Last Dance,6.0, (107K),1h 50m,adventure
6. Dune: Part Two,8.5, (612K),2h 46m,adventure
7. Mufasa: The Lion King,6.6, (47K),1h 58m,adventure
8. The Lord of the Rings: The War of the Rohirrim,6.3, (28K),2h 14m,adventure
9. Furiosa: A Mad Max Saga,7.5, (279K),2h 28m,adventure
10. Deadpool & Wolverine,7.6, (479K),2h 8m,adventure
11. The Day the Earth Blew Up: A Looney Tunes Movie,6.9, (1.7K),1h 31m,adventure
12. Borderlands,4.7, (45K),1h 41m,adventure
13. Paddington in Peru,6.7, (17K),1h 46m,adventure
14. Night of the Zoopocalypse,6.2, (315),1h 31m,adventure
15. Twisters,6.5, (160K),2h 2m,adventure
16. Civil War,7.0, (232K),1h 49m,adventure
17. Despicable Me 4,6.2, (62K),1h 34m,adventure
18. The Count of Monte-Cristo,7.6, (32K),2h 58m,adventure
19. Inside Out 2,7.5, (211K),1h 36m,adventure
20. Kingdom of the Planet of the Apes,6.9, (149K),2h 25m,adventure
21. Red One,6.3, (137K),2h 3m,adventure
22. Transformers One,7.6, (47K),1h 44m,adventure
23. Solo Leveling: ReAwakening,8.7, (6.7K),2h 1m,adventure
24. Bad Boys: Ride or Die,6.5, (98K),1h 55m,adventure
25. Love Lies Bleeding,6.6, (56K),1h 44m,adventure
26. Damsel,6.1, (108K),1h 50m,adventure
27. Ghostbusters: Frozen Empire,6.1, (92K),1h 55m,adventure
28. The Return,6.2, (7.4K),1h 56m,adventure
29. Madame Web,4.0, (99K),1h 56m,adventure
30. Godzilla x Kong: The New Empire,6.1, (119K),1h 55m,adventure
31. Freaky Tales,6.4, (363),1h 46m,adventure
32. Wallace & Gromit: Vengeance Most Fowl,7.5, (33K),1h 22m,adventure
33. Harold and the Purple Crayon,5.7, (7.9K),1h 30m,adventure
34. Attack on Titan the Movie: The Last Attack,9.3, (14K),2h 25m,adventure
35. Spaceman,5.7, (42K),1h 47m,adventure
36. Uglies,4.7, (32K),1h 40m,adventure
37. Kung Fu Panda 4,6.3, (67K),1h 34m,adventure
38. The Garfield Movie,5.7, (24K),1h 41m,adventure
39. Hitpig,5.1, (827),1h 26m,adventure
40. Kalki 2898 AD,7.0, (66K),3h,adventure
41. Descendants: The Rise of Red,4.7, (6.9K),1h 31m,adventure
42. The Empire,5.2, (1.2K),1h 50m,adventure
43. Atlas,5.6, (55K),1h 58m,adventure
44. Survive,4.6, (2K),1h 30m,adventure
45. Rebel Moon - Part Two: The Scargiver,5.3, (59K),2h 2m,adventure
46. Spellbound,5.7, (6.3K),1h 49m,adventure
47. Arthur the King,7.0, (34K),1h 47m,adventure
48. Winner,6.5, (2.3K),1h 43m,adventure
