Title,Rating,Votes,Duration,Genre
1. A Complete Unknown,7.4, (59K),2h 21m,biography
2. I'm Still Here,8.4, (94K),2h 17m,biography
3. Queen of the Ring,7.0, (765),2h 20m,biography
4. The Apprentice,7.1, (50K),2h 2m,biography
5. William Tell,5.8, (1.6K),2h 13m,biography
6. Better Man,7.6, (22K),2h 15m,biography
7. Saturday Night,6.9, (29K),1h 49m,biography
8. Queer,6.5, (18K),2h 17m,biography
9. Maria,6.4, (18K),2h 4m,biography
10. Reagan,6.2, (11K),2h 21m,biography
11. Nr. 24,7.5, (14K),1h 51m,biography
12. Bonhoeffer: Pastor. Spy. Assassin.,6.3, (3.3K),2h 13m,biography
13. Unfrosted,5.5, (34K),1h 37m,biography
14. The Fire Inside,6.8, (2.1K),1h 49m,biography
15. Ordinary Angels,7.4, (15K),1h 58m,biography
16. Back to Black,6.3, (26K),2h 2m,biography
17. Young Woman and the Sea,7.5, (17K),2h 9m,biography
18. Joy,7.1, (8.9K),1h 55m,biography
19. Faith of Angels,5.9, (168),1h 38m,biography
20. Winner,6.5, (2.3K),1h 43m,biography
21. Audrey's Children,8.7, (64),1h 50m,biography
22. Bob Marley: One Love,6.2, (34K),1h 47m,biography
23. Piece by Piece,6.9, (5.1K),1h 33m,biography
24. Cabrini,7.3, (8.4K),2h 22m,biography
25. Rob Peace,6.6, (1.8K),2h,biography
26. Scoop,6.5, (20K),1h 42m,biography
27. The Remarkable Life of Ibelin,8.2, (12K),1h 43m,biography
28. Being Maria,6.1, (525),1h 40m,biography
29. Midas Man,6.4, (1.5K),1h 52m,biography
30. Monsieur Aznavour,7.3, (2.1K),2h 13m,biography
31. Amaran,8.2, (18K),2h 47m,biography
32. Super/Man: The Christopher Reeve Story,8.0, (8.7K),1h 44m,biography
33. One to One: John & Yoko,6.8, (71),1h 40m,biography
34. Maharaj,6.5, (15K),2h 11m,biography
35. Harbin,6.5, (485),1h 48m,biography
36. Chhava,8.6, (2.2K),51m,biography
37. Goebbels and the Führer,6.7, (1.9K),2h 15m,biography
"38. From Hilde, with Love",7.0, (753),2h 5m,biography
39. El 47,7.2, (3.1K),1h 50m,biography
40. Boléro,6.6, (737),2h,biography
41. Luther: Never Too Much,8.2, (774),1h 41m,biography
42. Shirley,6.2, (3.3K),1h 57m,biography
43. Race for Glory: Audi vs. Lancia,5.8, (4.6K),1h 49m,biography
44. Papa,7.5, (286),2h 11m,biography
45. Ravens,8.3, (50),1h 57m,biography
46. Niki,5.9, (308),1h 38m,biography
47. Cookster: The Darkest Days,8.3, (35),1h 59m,biography
48. Amar Singh Chamkila,7.8, (16K),2h 25m,biography
49. Avicii - I'm Tim,7.8, (6.6K),1h 35m,biography
50. Freedom,5.9, (1.3K),1h 50m,biography
51. Srikanth,7.4, (14K),2h 14m,biography
52. Liza: A Truly Terrific Absolutely True Story,8.2, (82),1h 44m,biography
53. The Firing Squad,5.4, (5K),1h 33m,biography
54. The Ballad of Davy Crockett,4.6, (244),1h 36m,biography
55. Elton John: Never Too Late,6.5, (1.8K),1h 42m,biography
56. Limonov: The Ballad of Eddie,6.0, (732),2h 18m,biography
57. Now or Never!,2.1, (17K),1h 25m,biography
