Title,Rating,Votes,Duration,Genre
1. Anora,7.6, (149K),2h 19m,comedy
2. Moana 2,6.7, (87K),1h 40m,comedy
3. A Real Pain,7.1, (76K),1h 30m,comedy
4. Emilia Pérez,5.4, (84K),2h 12m,comedy
5. Sonic the Hedgehog 3,6.9, (52K),1h 50m,comedy
6. The Ministry of Ungentlemanly Warfare,6.8, (131K),2h 2m,comedy
7. Deadpool & Wolverine,7.6, (479K),2h 8m,comedy
8. The Day the Earth Blew Up: A Looney Tunes Movie,6.9, (1.7K),1h 31m,comedy
9. Borderlands,4.7, (45K),1h 41m,comedy
10. Paddington in Peru,6.7, (17K),1h 46m,comedy
11. Saturday Night,6.9, (29K),1h 49m,comedy
12. Night of the Zoopocalypse,6.2, (315),1h 31m,comedy
13. Despicable Me 4,6.2, (62K),1h 34m,comedy
14. Riff Raff,6.3, (804),1h 43m,comedy
15. Old Guy,5.1, (1.7K),1h 34m,comedy
16. The Fall Guy,6.8, (216K),2h 6m,comedy
17. F*** Marry Kill,5.2, (1.8K),1h 37m,comedy
18. A Different Man,6.9, (27K),1h 52m,comedy
19. Kinds of Kindness,6.5, (58K),2h 44m,comedy
20. Beetlejuice Beetlejuice,6.7, (143K),1h 45m,comedy
21. Inside Out 2,7.5, (211K),1h 36m,comedy
22. Fly Me to the Moon,6.6, (48K),2h 12m,comedy
23. Thelma,7.0, (21K),1h 38m,comedy
24. Red One,6.3, (137K),2h 3m,comedy
25. Friendship,7.5, (208),1h 40m,comedy
26. Nightbitch,5.6, (18K),1h 39m,comedy
27. Bad Boys: Ride or Die,6.5, (98K),1h 55m,comedy
28. Superboys of Malegaon,8.0, (1K),2h 7m,comedy
29. My Old Ass,6.9, (37K),1h 29m,comedy
30. IF,6.4, (57K),1h 44m,comedy
31. It's What's Inside,6.6, (40K),1h 43m,comedy
32. Ghostbusters: Frozen Empire,6.1, (92K),1h 55m,comedy
33. The Killer's Game,5.7, (16K),1h 44m,comedy
34. Argylle,5.6, (91K),2h 19m,comedy
35. The Idea of You,6.3, (72K),1h 55m,comedy
36. Kneecap,7.6, (17K),1h 45m,comedy
37. Spermageddon,5.7, (595),1h 20m,comedy
38. Rumours,5.0, (4.2K),1h 44m,comedy
39. Mean Girls,5.6, (37K),1h 52m,comedy
40. The Union,5.4, (52K),1h 47m,comedy
41. Snack Shack,7.0, (11K),1h 52m,comedy
42. Eephus,7.0, (269),1h 38m,comedy
43. Freaky Tales,6.4, (363),1h 46m,comedy
44. My Dead Friend Zoe,7.2, (1.1K),1h 43m,comedy
45. Hard Truths,7.3, (4.4K),1h 37m,comedy
46. Wallace & Gromit: Vengeance Most Fowl,7.5, (33K),1h 22m,comedy
47. Distant,5.7, (3K),1h 27m,comedy
48. Y2K,4.9, (9.7K),1h 31m,comedy
49. Harold and the Purple Crayon,5.7, (7.9K),1h 30m,comedy
50. Drive-Away Dolls,5.4, (23K),1h 24m,comedy
51. Kung Fu Panda 4,6.3, (67K),1h 34m,comedy
52. Greedy People,6.2, (11K),1h 52m,comedy
53. Jönssonligan kommer tillbaka,6.0, (1K),1h 44m,comedy
54. A Family Affair,5.3, (36K),1h 51m,comedy
55. Miller's Girl,5.2, (23K),1h 33m,comedy
56. The Garfield Movie,5.7, (24K),1h 41m,comedy
57. The Instigators,6.2, (37K),1h 41m,comedy
