Title,Rating,Votes,Duration,Genre
1. Emilia Pérez,5.4, (84K),2h 12m,crime
2. Trap,5.8, (130K),1h 45m,crime
3. Longlegs,6.6, (178K),1h 41m,crime
4. Pushpa: The Rule - Part 2,6.1, (54K),3h 21m,crime
5. The Order,6.8, (37K),1h 56m,crime
6. Juror #2,7.0, (91K),1h 54m,crime
7. Despicable Me 4,6.2, (62K),1h 34m,crime
8. Riff Raff,6.3, (804),1h 43m,crime
9. MaXXXine,6.3, (67K),1h 43m,crime
10. The Beekeeper,6.3, (153K),1h 45m,crime
11. Carry-On,6.5, (159K),1h 59m,crime
12. Rebel Ridge,6.8, (85K),2h 11m,crime
13. Wolfs,6.5, (79K),1h 48m,crime
14. The Crow,4.7, (32K),1h 51m,crime
15. The Seed of the Sacred Fig,7.6, (12K),2h 47m,crime
16. Bad Boys: Ride or Die,6.5, (98K),1h 55m,crime
17. Love Lies Bleeding,6.6, (56K),1h 44m,crime
18. Lucky Baskhar,8.0, (30K),2h 28m,crime
19. Monkey Man,6.8, (90K),2h 1m,crime
20. Freaky Tales,6.4, (363),1h 46m,crime
21. Greedy People,6.2, (11K),1h 52m,crime
22. Jönssonligan kommer tillbaka,6.0, (1K),1h 44m,crime
23. Absolution,5.2, (7.4K),1h 52m,crime
24. Sleeping Dogs,6.2, (21K),1h 50m,crime
25. The Instigators,6.2, (37K),1h 41m,crime
26. Lift,5.5, (49K),1h 47m,crime
27. Beverly Hills Cop: Axel F,6.4, (80K),1h 58m,crime
28. Hitpig,5.1, (827),1h 26m,crime
29. The Silent Hour,6.1, (7K),1h 39m,crime
30. Maharaja,8.4, (65K),2h 21m,crime
31. Beating Hearts,7.0, (4K),2h 46m,crime
32. Misericordia,6.9, (1.5K),1h 44m,crime
33. Brothers,5.4, (13K),1h 29m,crime
34. Killer Heat,5.6, (13K),1h 35m,crime
35. Long Gone Heroes,5.2, (966),1h 41m,crime
36. Force of Nature: The Dry 2,5.9, (6.7K),2h,crime
37. The Shadow Strays,6.5, (8.9K),2h 24m,crime
38. Armor,3.5, (3.6K),1h 29m,crime
39. Trigger Warning,4.6, (19K),1h 46m,crime
40. Blackwater Lane,4.6, (1.8K),1h 48m,crime
41. Twilight of the Warriors: Walled In,7.0, (8.9K),2h 6m,crime
42. Boneyard,4.1, (4.8K),1h 36m,crime
43. The Thicket,5.8, (2.9K),1h 48m,crime
44. The Calendar Killer,5.4, (3.9K),1h 37m,crime
45. Santosh,7.0, (1.4K),2h 8m,crime
46. The Unholy Trinity,7.9, (49),1h 33m,crime
47. Inside,7.0, (214),1h 44m,crime
48. Mea Culpa,4.2, (6.9K),2h,crime
49. Megamind vs. The Doom Syndicate,2.5, (5.5K),1h 23m,crime
50. Dead Sea,5.3, (5.2K),1h 28m,crime
51. Sector 36,7.1, (25K),2h 3m,crime
52. Damaged,4.7, (7.1K),1h 37m,crime
53. Colors of Evil: Red,6.4, (8.3K),1h 51m,crime
54. Trouble,6.2, (6.6K),1h 38m,crime
55. Faultline,6.0, (71),1h 32m,crime
"56. I, the Executioner",6.3, (1.6K),1h 58m,crime
