Title,Rating,Votes,Duration,Genre
1. No Other Land,8.3, (8.5K),1h 32m,documentary
2. Secret Mall Apartment,8.0, (90),1h 31m,documentary
3. Black Box Diaries,7.5, (3.1K),1h 42m,documentary
4. Grand Theft Hamlet,6.9, (1.5K),1h 29m,documentary
5. Tom Petty: Heartbreakers Beach Party,7.4, (148),1h 24m,documentary
6. 2073,5.1, (1.6K),1h 25m,documentary
7. The Menendez Brothers,7.0, (8.9K),1h 59m,documentary
8. Soundtrack to a Coup d'Etat,7.7, (2.5K),2h 30m,documentary
9. Sugarcane,7.0, (3.1K),1h 47m,documentary
10. Twiggy,7.6, (53),1h 34m,documentary
11. The Remarkable Life of Ibelin,8.2, (12K),1h 43m,documentary
12. Will & Harper,7.4, (12K),1h 54m,documentary
13. Cheech and Chong's Last Movie,8.1, (37),2h 3m,documentary
14. Super/Man: The Christopher Reeve Story,8.0, (8.7K),1h 44m,documentary
15. One to One: John & Yoko,6.8, (71),1h 40m,documentary
16. Porcelain War,7.1, (1.1K),1h 27m,documentary
17. Afternoons of Solitude,7.2, (264),2h 5m,documentary
18. The Last Journey,7.9, (4.9K),1h 35m,documentary
19. Chhava,8.6, (2.2K),51m,documentary
20. Buy Now! The Shopping Conspiracy,6.7, (6.1K),1h 24m,documentary
21. The Lost Children,7.0, (2.6K),1h 36m,documentary
22. Am I Racist?,6.7, (16K),1h 40m,documentary
23. The Program,7.2, (731),1h 42m,documentary
24. Every Little Thing,7.1, (167),1h 33m,documentary
25. Separated,6.6, (168),1h 33m,documentary
26. What Jennifer Did,6.1, (11K),1h 27m,documentary
"27. My Wife, My Abuser: The Secret Footage",7.1, (786),55m,documentary
28. Lover Stalker Killer,7.0, (13K),1h 30m,documentary
29. Housewife of the Year,7.9, (41),1h 21m,documentary
30. Luther: Never Too Much,8.2, (774),1h 41m,documentary
31. Brats,6.5, (6.8K),1h 32m,documentary
32. Endurance,7.5, (1.5K),1h 43m,documentary
33. Yacht Rock: A Dockumentary,7.6, (1.7K),1h 35m,documentary
34. Frida,7.5, (1.5K),1h 27m,documentary
35. Blink,7.2, (619),1h 23m,documentary
36. Dahomey,6.8, (2.5K),1h 8m,documentary
37. Avicii - I'm Tim,7.8, (6.6K),1h 35m,documentary
38. The Thinking Game,7.8, (106),1h 24m,documentary
39. Aliens Expanded,8.2, (513),4h 42m,documentary
40. Satisfied,7.5, (14),1h 24m,documentary
41. Witches,7.4, (1.1K),1h 30m,documentary
42. Sweet Bobby: My Catfish Nightmare,6.2, (5.4K),1h 22m,documentary
43. Liza: A Truly Terrific Absolutely True Story,8.2, (82),1h 44m,documentary
44. We Will Dance Again,7.7, (11K),1h 30m,documentary
45. Getting Lost,7.2, (615),1h 19m,documentary
46. Hack Your Health: The Secrets of Your Gut,6.6, (3.1K),1h 2m,documentary
47. The Bloody Hundredth,7.5, (2.6K),1h 36m,documentary
48. The Greatest Night in Pop,7.9, (15K),1h 42m,documentary
49. Elton John: Never Too Late,6.5, (1.8K),1h 55m,documentary
50. Martha,7.2, (3.9K),1h 17m,documentary
51. Billy & Molly: An Otter Love Story,8.0, (1.8K),1h 25m,documentary
52. Bambi: A Tale of Life in the Woods,5.7, (149),1h 46m,documentary
53. Beatles '64,7.2, (2.4K),1h 25m,documentary
54. Biggest Heist Ever,6.1, (1.4K),2h 8m,documentary
55. Pavements,7.0, (146),1h 45m,documentary
56. Ernest Cole: Lost and Found,7.2, (267),1h 45m,documentary
57. Music by John Williams,8.2, (4.6K),1h 33m,documentary
58. The Blue Angels,7.3, (2.7K),1h 43m,documentary
59. Checkpoint Zoo,8.5, (45),1h 24m,documentary
60. A New Kind of Wilderness,7.6, (1.1K),1h 29m,documentary
61. Bad Faith,7.4, (1.3K),1h 28m,documentary
62. ¡Casa Bonita Mi Amor!,7.5, (1.3K),1h 55m,documentary
63. Riefenstahl,7.2, (434),1h 48m,documentary
64. Daughters,7.6, (1.6K),1h 52m,documentary
65. From Ground Zero,7.9, (493),1h 30m,documentary
66. Dear Kelly,7.3, (437),1h 26m,documentary
67. A Quiet Girl,7.3, (29),1h 21m,documentary
68. Like Tears in Rain,8.0, (142),2h 28m,documentary
69. Andrea Bocelli 30: The Celebration,8.2, (145),1h 51m,documentary
70. Jim Henson: Idea Man,7.7, (3.8K),1h 55m,documentary
71. The Bibi Files,7.5, (996),1h 5m,documentary
72. Untitled Tim Burton Documentary,8.5, (47),1h 10m,documentary
73. The Day Iceland Stood Still,7.1, (3.4K),1h 40m,documentary
74. Skywalkers: A Love Story,7.1, (14),1h 30m,documentary
75. Wicked: The Real Story,5.5, (198),2h 21m,documentary
76. Battle for Disclosure,7.3, (75),1h 8m,documentary
77. I Am Martin Parr,7.1, (61),1h 41m,documentary
78. Missing from Fire Trail Road,4.0, (317),1h 4m,documentary
79. Government Gangsters,6.6, (4.1K),1h 28m,documentary
80. How to Rob a Bank,6.4, (3.1K),1h 28m,documentary
81. Jailbreak: Love on the Run,6.3, (1.2K),1h 30m,documentary
82. God & Country,6.2, (4K),1h 16m,documentary
83. Einstein and the Bomb,6.8, (21),1h 10m,documentary
84. The Stimming Pool,7.3, (1K),1h 43m,documentary
85. The Commandant's Shadow,8.2, (16),1h 38m,documentary
86. Art Spiegelman: Disaster Is My Muse,7.2, (2.1K),1h 15m,documentary
87. Inside the Mind of a Dog,5.5, (610),1h 34m,documentary
88. War Game,8.0, (1K),1h 34m,documentary
89. Kix,7.2, (1.1K),1h 33m,documentary
90. Agent of Happiness,6.5, (1.3K),1h 38m,documentary
91. Child Star,7.2, (571),1h 50m,documentary
92. Fly,7.1, (87),1h 43m,documentary
93. Chain Reactions,7.2, (5.8K),2h 59m,documentary
94. The Roast of Tom Brady,7.7, (7.8K),1h 43m,documentary
95. I Am: Celine Dion,7.4, (771),1h 30m,documentary
96. ZEF: The Story of Die Antwoord,7.5, (6),1h 18m,documentary
97. Make It Look Real,6.4, (1.1K),1h 49m,documentary
98. Stormy,6.4, (137),1h 38m,documentary
99. Shadowland,6.9, (105),1h 20m,documentary
100. Fiore mio,7.3, (74),1h 40m,documentary
101. Two Strangers Trying Not to Kill Each Other,5.9, (3.2K),1h 29m,documentary
102. They Called Him Mostly Harmless,5.4, (511),1h 45m,documentary
103. Look Into My Eyes,6.7, (88),1h 28m,documentary
104. Freediver,7.0, (599),1h 27m,documentary
105. The Last of the Sea Women,8.2, (43),1h 44m,documentary
106. Ellis Park,7.3, (141),1h 24m,documentary
107. The Real Full Monty,6.6, (301),1h 25m,documentary
108. Family Secrets: The Disappearance of Alissa Turney,6.4, (2.6K),1h 12m,documentary
109. The Antisocial Network: Memes to Mayhem,7.3, (235),1h 53m,documentary
110. Becoming Hitchcock: The Legacy of Blackmail,7.1, (2.1K),1h 23m,documentary
111. The Beach Boys,8.6, (18),1h 30m,documentary
112. Spyral,6.8, (69),1h 20m,documentary
113. All the President's Men,6.7, (24),1h 25m,documentary
114. Elevation,6.8, (67),1h 25m,documentary
115. Apple Cider Vinegar,7.2, (245),1h 38m,documentary
116. Never Look Away,7.1, (140),1h 49m,documentary
117. Gaucho Gaucho,7.3, (2.3K),1h 39m,documentary
118. Apollo 13: Survival,8.9, (926),2h 11m,documentary
119. From the River to the Sea: The Frontiers of Faith,8.3, (1.7K),1h 30m,documentary
120. Giannis: The Marvelous Journey,6.7, (1.7K),1h 30m,documentary
121. The Sidemen Story,7.9, (1.3K),1h 40m,documentary
122. Made in England: The Films of Powell and Pressburger,7.6, (1.9K),1h 8m,documentary
123. Return of the King: The Fall and Rise of Elvis Presley,7.6, (59),1h 29m,documentary
124. The Last Republican,6.9, (4.6K),1h 29m,documentary
125. Money Electric: The Bitcoin Mystery,5.8, (2K),1h 33m,documentary
126. Jamie Foxx: What Had Happened Was...,8.5, (44),1h 20m,documentary
127. Antidote,8.3, (26),1h 39m,documentary
128. All Illusions Must Be Broken,6.5, (4K),1h 31m,documentary
129. Bitconned,6.4, (2.5K),1h 44m,documentary
130. Secrets of the Neanderthals,6.4, (712),1h 42m,documentary
131. Fanatical: The Catfishing of Tegan and Sara,7.0, (156),1h 32m,documentary
132. Becoming Madonna,7.2, (636),2h,documentary
133. Blur: To the End,7.1, (120),1h 31m,documentary
134. The Brink of Dreams,8.2, (867),1h 30m,documentary
135. From Russia with Lev,7.8, (848),52m,documentary
136. Hayao Miyazaki and the Heron,6.8, (497),1h 31m,documentary
"137. Thank You, Dr. Fauci",7.9, (112),1h 41m,documentary
138. The Road to Patagonia,4.6, (153),2h 1m,documentary
139. Rise of OnlyFans,7.1, (3K),1h 17m,documentary
140. Faye,9.3, (10),1h 34m,documentary
141. Playing to Survive: von Cramm vs Hitler,7.5, (3K),1h 54m,documentary
142. The Truth vs. Alex Jones,8.4, (13),1h,documentary
143. Ange & the Boss: Puskas in Australia,4.8, (63),2h 26m,documentary
144. The Mandela Effect Phenomenon,7.2, (104),1h 40m,documentary
145. Mistress Dispeller,8.6, (35),1h 29m,documentary
146. Janis Ian: Breaking Silence,2.2, (198),31m,documentary
147. Diddy: Summit to Plummet,7.8, (60),1h,documentary
148. DIG! XX,7.2, (250),1h 19m,documentary
149. Union,8.6, (63),1h 28m,documentary
150. Viktor,7.2, (9),1h 39m,documentary
151. If Jack Reacher Could Sing,6.3, (649),1h 38m,documentary
152. Surveilled,7.4, (62),1h 36m,documentary
153. One Night in Millstreet,7.3, (4.1K),57m,documentary
154. Federer: Twelve Final Days,7.2, (430),56m,documentary
155. The Life and Deaths of Christopher Lee,8.2, (294),1h 40m,documentary
156. RRR: Behind & Beyond,6.7, (2.8K),1h 22m,documentary
"157. MoviePass, MovieCrash",6.2, (9.7K),1h 28m,documentary
158. Screams Before Silence,8.5, (67),1h 24m,documentary
159. RUNN,6.7, (76),57m,documentary
160. Aneta,5.6, (154),1h 32m,documentary
161. The Honey Trap,9.2, (16),1h 38m,documentary
162. Breaking Into Beautiful,9.0, (23),1h 40m,documentary
163. The M Factor: Shredding the Silence on Menopause,7.0, (1.2K),1h 39m,documentary
164. Spermworld,5.6, (2K),1h 31m,documentary
165. Untold: The Murder of Air McNair,7.8, (184),2h 21m,documentary
166. Norman's Rare Guitars Documentary,8.4, (9),1h 35m,documentary
167. To the Journey: Looking Back at Star Trek: Voyager,7.8, (55),1h 30m,documentary
168. Mogwai: If the Stars Had a Sound,6.7, (242),1h 30m,documentary
169. Architecton,7.4, (1.1K),1h 50m,documentary
170. Elizabeth Taylor: The Lost Tapes,8.3, (37),1h 34m,documentary
171. Blue Road: The Edna O'Brien Story,7.3, (52),1h 29m,documentary
172. Diane Warren: Relentless,7.6, (105),6h 3m,documentary
173. The Rubber-Keyed Wonder,8.2, (521),1h 44m,documentary
174. Intercepted,7.4, (1.4K),1h 18m,documentary
