Title,Rating,Votes,Duration,Genre
1. Anora,7.6, (149K),2h 19m,drama
2. The Brutalist,7.5, (68K),3h 36m,drama
3. The Substance,7.3, (279K),2h 21m,drama
4. Conclave,7.4, (131K),2h,drama
5. A Complete Unknown,7.4, (59K),2h 21m,drama
6. I'm Still Here,8.4, (94K),2h 17m,drama
7. A Real Pain,7.1, (76K),1h 30m,drama
8. Emilia Pérez,5.4, (84K),2h 12m,drama
9. Gladiator II,6.6, (216K),2h 28m,drama
10. Babygirl,6.0, (47K),1h 54m,drama
11. Queen of the Ring,7.0, (765),2h 20m,drama
12. The Apprentice,7.1, (50K),2h 2m,drama
13. Presence,6.2, (17K),1h 24m,drama
14. Dune: Part Two,8.5, (612K),2h 46m,drama
15. Parthenope,6.7, (8.9K),2h 17m,drama
16. Pushpa: The Rule - Part 2,6.1, (54K),3h 21m,drama
17. Mufasa: The Lion King,6.6, (47K),1h 58m,drama
18. William Tell,5.8, (1.6K),2h 13m,drama
19. September 5,7.1, (20K),1h 35m,drama
20. The Order,6.8, (37K),1h 56m,drama
21. It Ends with Us,6.4, (81K),2h 10m,drama
22. The Lord of the Rings: The War of the Rohirrim,6.3, (28K),2h 14m,drama
23. Nickel Boys,7.0, (16K),2h 20m,drama
24. We Live in Time,7.0, (48K),1h 48m,drama
25. The Last Showgirl,6.5, (8.6K),1h 28m,drama
26. Juror #2,7.0, (91K),1h 54m,drama
27. The Life of Chuck,7.7, (459),1h 50m,drama
28. Here,6.3, (18K),1h 44m,drama
29. Horizon: An American Saga - Chapter 1,6.7, (39K),3h 1m,drama
30. Saturday Night,6.9, (29K),1h 49m,drama
31. Speak No Evil,6.8, (92K),1h 50m,drama
32. The Count of Monte-Cristo,7.6, (32K),2h 58m,drama
33. Megalopolis,4.7, (34K),2h 18m,drama
34. Queer,6.5, (18K),2h 17m,drama
35. The Fall Guy,6.8, (216K),2h 6m,drama
36. The Six Triple Eight,6.7, (25K),2h 7m,drama
37. Rebel Ridge,6.8, (85K),2h 11m,drama
38. A Different Man,6.9, (27K),1h 52m,drama
39. Kinds of Kindness,6.5, (58K),2h 44m,drama
40. Inside Out 2,7.5, (211K),1h 36m,drama
41. Joker: Folie à Deux,5.2, (156K),2h 18m,drama
42. Small Things Like These,6.8, (20K),1h 38m,drama
43. Homestead,5.4, (3.3K),1h 52m,drama
44. Maria,6.4, (18K),2h 4m,drama
45. The Girl with the Needle,7.5, (12K),2h 3m,drama
46. Kingdom of the Planet of the Apes,6.9, (149K),2h 25m,drama
47. Road House,6.2, (165K),2h 1m,drama
48. Memoir of a Snail,7.8, (15K),1h 35m,drama
49. The Seed of the Sacred Fig,7.6, (12K),2h 47m,drama
50. Superboys of Malegaon,8.0, (1K),2h 7m,drama
51. The Outrun,6.9, (14K),1h 58m,drama
52. A Quiet Place: Day One,6.3, (145K),1h 39m,drama
53. My Old Ass,6.9, (37K),1h 29m,drama
54. The Room Next Door,6.8, (18K),1h 47m,drama
55. IF,6.4, (57K),1h 44m,drama
56. Lucky Baskhar,8.0, (30K),2h 28m,drama
57. Caddo Lake,6.8, (40K),1h 43m,drama
58. The Return,6.2, (7.4K),1h 56m,drama
59. In a Violent Nature,5.6, (25K),1h 34m,drama
60. I Saw the TV Glow,5.8, (35K),1h 40m,drama
61. The Idea of You,6.3, (72K),1h 55m,drama
62. All We Imagine as Light,7.1, (8.8K),1h 58m,drama
63. Dirty Angels,4.3, (3.1K),1h 44m,drama
64. Kneecap,7.6, (17K),1h 45m,drama
65. Rumours,5.0, (4.2K),1h 44m,drama
66. On Swift Horses,6.0, (172),1h 57m,drama
67. Reagan,6.2, (11K),2h 21m,drama
68. The Friend,6.1, (175),2h,drama
69. Eephus,7.0, (269),1h 38m,drama
70. Freaky Tales,6.4, (363),1h 46m,drama
71. My Dead Friend Zoe,7.2, (1.1K),1h 43m,drama
72. Hard Truths,7.3, (4.4K),1h 37m,drama
73. Distant,5.7, (3K),1h 27m,drama
74. The Penguin Lessons,7.3, (205),1h 50m,drama
75. The Shrouds,5.8, (733),1h 59m,drama
76. Attack on Titan the Movie: The Last Attack,9.3, (14K),2h 25m,drama
77. Horizon: An American Saga - Chapter 2,7.1, (1.2K),3h 10m,drama
78. Spaceman,5.7, (42K),1h 47m,drama
79. Bird,7.0, (7.5K),1h 59m,drama
80. Nr. 24,7.5, (14K),1h 51m,drama
81. Uglies,4.7, (32K),1h 40m,drama
82. Bonhoeffer: Pastor. Spy. Assassin.,6.3, (3.3K),2h 13m,drama
83. A Family Affair,5.3, (36K),1h 51m,drama
84. Miller's Girl,5.2, (23K),1h 33m,drama
85. Absolution,5.2, (7.4K),1h 52m,drama
86. The Assessment,7.2, (453),1h 49m,drama
87. Arcadian,5.5, (22K),1h 32m,drama
88. Blitz,6.2, (16K),2h,drama
89. Culpa Tuya,5.2, (12K),1h 58m,drama
90. The Instigators,6.2, (37K),1h 41m,drama
91. Lift,5.5, (49K),1h 47m,drama
92. The Forge,6.7, (4.6K),2h 4m,drama
93. Young Hearts,8.1, (4.4K),1h 39m,drama
94. Mothers' Instinct,6.3, (20K),1h 34m,drama
95. The Fire Inside,6.8, (2.1K),1h 49m,drama
96. Maharaja,8.4, (65K),2h 21m,drama
97. Beating Hearts,7.0, (4K),2h 46m,drama
98. Kalki 2898 AD,7.0, (66K),3h,drama
99. Unstoppable,6.8, (3.8K),1h 56m,drama
100. The Devil's Bath,6.6, (5.8K),2h 1m,drama
101. Misericordia,6.9, (1.5K),1h 44m,drama
102. The Empire,5.2, (1.2K),1h 50m,drama
103. Dìdi,7.3, (12K),1h 33m,drama
104. Killer Heat,5.6, (13K),1h 35m,drama
105. Atlas,5.6, (55K),1h 58m,drama
106. Ordinary Angels,7.4, (15K),1h 58m,drama
107. Guilty Pleasure,5.6, (68),1h 59m,drama
108. Exhuma,6.9, (23K),2h 14m,drama
109. The Uninvited,5.9, (138),1h 37m,drama
110. Canary Black,5.4, (11K),1h 41m,drama
111. Baby John,5.4, (17K),2h 39m,drama
112. Back to Black,6.3, (26K),2h 2m,drama
113. Long Gone Heroes,5.2, (966),1h 41m,drama
114. Emmanuelle,4.2, (1.5K),1h 47m,drama
115. Loveable,8.1, (1.3K),1h 41m,drama
116. The Damned,5.7, (3.6K),1h 29m,drama
