Title,Rating,Votes,Duration,Genre
1. Moana 2,6.7, (87K),1h 40m,family
2. Flow,7.9, (58K),1h 25m,family
3. Sonic the Hedgehog 3,6.9, (52K),1h 50m,family
4. Mufasa: The Lion King,6.6, (47K),1h 58m,family
5. The Day the Earth Blew Up: A Looney Tunes Movie,6.9, (1.7K),1h 31m,family
6. Paddington in Peru,6.7, (17K),1h 46m,family
7. Despicable Me 4,6.2, (62K),1h 34m,family
8. Inside Out 2,7.5, (211K),1h 36m,family
9. Transformers One,7.6, (47K),1h 44m,family
10. IF,6.4, (57K),1h 44m,family
11. Wallace & Gromit: Vengeance Most Fowl,7.5, (33K),1h 22m,family
12. Harold and the Purple Crayon,5.7, (7.9K),1h 30m,family
13. Kung Fu Panda 4,6.3, (67K),1h 34m,family
14. The Garfield Movie,5.7, (24K),1h 41m,family
15. The Forge,6.7, (4.6K),2h 4m,family
16. Hitpig,5.1, (827),1h 26m,family
17. Young Hearts,8.1, (4.4K),1h 39m,family
18. Descendants: The Rise of Red,4.7, (6.9K),1h 31m,family
19. How to Make Millions Before Grandma Dies,8.0, (13K),2h 5m,family
20. Faith of Angels,5.9, (168),1h 38m,family
21. Spellbound,5.7, (6.3K),1h 49m,family
22. Fear,8.5, (2.7K),1h 55m,family
23. Saving Bikini Bottom: The Sandy Cheeks Movie,3.7, (3.7K),1h 22m,family
24. My Penguin Friend,6.7, (4.7K),1h 37m,family
25. Piece by Piece,6.9, (5.1K),1h 33m,family
26. Lost on a Mountain in Maine,6.1, (1.1K),1h 38m,family
27. You Gotta Believe,5.8, (1.2K),1h 44m,family
28. Unsung Hero,7.0, (4.9K),1h 53m,family
29. Megamind vs. The Doom Syndicate,2.5, (5.5K),1h 23m,family
30. Orion and the Dark,6.3, (17K),1h 33m,family
31. A Sloth Story,5.7, (176),1h 30m,family
32. That Christmas,6.8, (17K),1h 31m,family
33. Thelma the Unicorn,5.7, (2.9K),1h 33m,family
34. The Tiger's Apprentice,5.7, (2.1K),1h 24m,family
35. The Lost Tiger,7.8, (34),1h 30m,family
36. Big World,7.4, (980),2h 11m,family
37. Guest from the Future,6.0, (1.1K),2h 21m,family
38. 200% Wolf,6.0, (1.3K),1h 38m,family
39. Ultraman: Rising,6.9, (6.2K),1h 57m,family
40. Panda Plan,5.1, (1.1K),1h 39m,family
41. 10 Lives,5.9, (1.8K),1h 28m,family
42. Doraemon the Movie: Nobita's Earth Symphony,6.6, (1.4K),1h 55m,family
43. The Magician's Raincoat,5.6, (85),1h 40m,family
44. Autumn and the Black Jaguar,5.6, (960),1h 10m,family
45. The Thundermans Return,5.0, (1.8K),1h 31m,family
46. Runt,6.4, (495),1h 40m,family
47. Woody Woodpecker Goes to Camp,4.5, (2.5K),1h 33m,family
48. Buffalo Kids,6.6, (628),1h 43m,family
49. Woodwalkers,5.4, (344),2h 57m,family
50. Meiyazhagan,8.4, (13K),2h 23m,family
51. Bibi Rajni,8.6, (708),1h 40m,family
52. Average Joe,4.2, (559),1h 46m,family
53. Crayon Shin-chan: Ora's Dinosaur Diary,6.5, (310),1h 26m,family
54. My Freaky Family,6.4, (388),1h 22m,family
55. The Groomsmen: First Look,6.1, (377),1h 25m,family
56. Bambi: A Tale of Life in the Woods,5.7, (149),1h 34m,family
57. Man and Witch: The Dance of a Thousand Steps,5.6, (325),1h 37m,family
58. Ghost Cat Anzu,6.5, (697),1h 28m,family
59. Storm Crashers,6.3, (552),1h 47m,family
60. Dalia y el Libro Rojo,6.7, (44),1h 34m,family
61. Rebellious,6.0, (159),1h 27m,family
62. Savages,7.0, (268),1h 40m,family
63. Robin and the Hoods,4.4, (504),1h 20m,family
64. The Night Before Christmas in Wonderland,6.3, (507),1h 38m,family
65. Der Buchspazierer,7.3, (352),1h 30m,family
66. Believe in Christmas,6.1, (820),2h 9m,family
67. A Brother and 7 Siblings,8.6, (1.1K),1h 30m,family
68. Going Viral,6.8, (50),1h 31m,family
69. A Sudden Case of Christmas,5.1, (1.1K),1h 45m,family
70. School of Magical Animals 3,5.9, (297),1h 20m,family
71. Super-Charlie,6.3, (104),1h 53m,family
72. The Neon Highway,6.0, (484),1h 40m,family
73. Rally Caps,5.5, (128),1h 20m,family
74. Ryan's World the Movie: Titan Universe Adventure,1.8, (637),2h 3m,family
75. And the Breadwinner Is...,6.8, (241),1h 52m,family
76. My Oni Girl,6.0, (1.7K),1h 31m,family
77. A Carpenter's Prayer,8.6, (33),1h 33m,family
78. Disaster Holiday,4.8, (671),1h 28m,family
79. Kid Santa,4.8, (22),1h 42m,family
80. Return to Wickensburg,7.6, (91),1h 36m,family
81. Børnene fra Sølvgade,4.3, (624),2h 27m,family
82. Noah's Ark,7.8, (199),1h 25m,family
83. 2nd Miracle in Cell No. 7,6.9, (57),1h 21m,family
84. Marry Christmas,6.4, (434),2h 2m,family
85. No Time to Spy: A Loud House Movie,8.2, (547),1h 42m,family
86. Rajakili,5.6, (88),1h 52m,family
87. A Nashville Wish,8.1, (819),1h 24m,family
88. Home Sweet Loan,5.5, (308),1h 46m,family
89. Panda Bear in Africa,7.8, (409),1h 25m,family
90. Like a Rolling Stone,5.9, (347),1h 38m,family
91. Victoria må dø,7.6, (273),1h 35m,family
92. Véletlenül írtam egy könyvet,6.5, (215),1h 40m,family
93. Juliette au printemps,5.7, (185),1h 36m,family
94. Brewster's Millions: Christmas,7.0, (2.1K),1h 25m,family
95. The Snow Sister,5.6, (88),1h 21m,family
96. Skelly,4.9, (142),1h 30m,family
97. The Primrose Railway Children,5.2, (601),1h 30m,family
98. Father There is Only One 4,7.8, (6),2h 1m,family
99. Il migliore dei mali,4.0, (805),1h 25m,family
100. Grrr...,5.7, (86),2h,family
101. Zak & Wowo: The Legend of Lendarys,6.7, (296),1h 33m,family
102. Dog Days,6.0, (63),1h 27m,family
103. Dance Rivals,5.1, (258),1h 44m,family
104. Gracie and Pedro: Pets to the Rescue,6.6, (221),1h 20m,family
105. Bila Esok Ibu Tiada,5.5, (58),1h 28m,family
106. Magic Beach,4.3, (191),1h 40m,family
107. SuperKlaus,9.1, (29),1h 56m,family
108. Paper Flowers,7.0, (47),1h 30m,family
109. Dear Family,5.5, (51),1h 29m,family
110. The Adventures of Jurassic Pet: Return to the Wild,5.6, (652),TV-Y,family
111. The Casagrandes Movie,6.9, (21),1h 25m,family
112. Heartsping : Teenieping of Love,5.7, (50),1h 44m,family
113. The Big Trip 3: Race Around the World,3.5, (170),TV-Y7,family
114. The Legend of Catclaws Mountain,6.2, (529),1h 1m,family
115. Big City Greens the Movie: Spacecation,6.4, (47),1h 46m,family
"116. Maya, donne-moi un titre",5.7, (98),1h 26m,family
117. Little Emma,6.7, (82),1h 35m,family
118. My Private Line to God,5.0, (88),1h 5m,family
119. Elli and the Ghostly Ghost Train,5.9, (24),2h 9m,family
120. Yaren Leylek,5.0, (153),1h 45m,family
121. Peppa's Cinema Party,8.4, (5.4K),1h 32m,family
122. Sabari,5.4, (104),1h 32m,family
123. For Prophet,7.3, (193),2h 9m,family
124. Superkrachten voor je hoofd,4.7, (163),1h 30m,family
125. Yolki 11,7.0, (105),1h 20m,family
126. Babah,5.8, (160),2h 17m,family
127. Joy of Horses,7.8, (100),55m,family
128. Living Large,5.5, (36),1h 30m,family
129. Hope,6.0, (1.2K),1h 33m,family
130. Singapore Saloon,5.9, (45),1h 53m,family
131. My Redneck Neighbor: Chapter 2 - Let the Games Begin,9.3, (96),1h 36m,family
132. Stinky Summer,8.1, (144),1h 14m,family
133. Saint Nick of Bethlehem,5.8, (172),1h 29m,family
134. Amaltash,5.0, (7),1h 30m,family
135. Captain Avispa,6.2, (73),1h 35m,family
136. My Redneck Neighbor: Chapter 1 - The Rednecks Are Coming,7.8, (453),2h 16m,family
137. Powder Pup,4.8, (387),1h 40m,family
138. Chico Bento e a Goiabeira Maraviosa,6.7, (1.3K),1h 25m,family
139. Too Old for Fairy Tales 2,3.7, (288),1h 16m,family
140. Vishesham,5.9, (51),1h 45m,family
141. Letuchiy korabl,6.4, (70),1h 25m,family
142. Kvitebjørn,5.3, (295),1h 39m,family
"143. Die Heinzels: Neue Mützen, Neue Mission",7.1, (27),2h 19m,family
"144. Love, Sitara",8.1, (77),1h 23m,family
145. The Lamb,7.9, (493),2h 14m,family
146. Dongeng Sang Kancil,4.0, (42),2h 2m,family
147. Gharat Ganpati,5.7, (30),1h 40m,family
148. Juf Braaksel en de Geniale Ontsnapping,7.6, (21),1h 35m,family
149. Troy the Bharat Putra,6.9, (740),1h 39m,family
150. Sunny,8.6, (13),1h 59m,family
151. Dedh Bigha Zameen,6.3, (62),1h 40m,family
152. Cricket,7.5, (15),1h 22m,family
153. Blended Christmas,4.4, (113),1h 55m,family
154. Obraz,6.6, (169),1h 38m,family
155. Baba Yaga spasaet Novyy god,7.7, (21),1h 20m,family
156. Sieger Sein,8.7, (27),1h 52m,family
157. Gina,8.3, (47),1h 29m,family
158. Miracle Mile,5.8, (87),1h 50m,family
159. Carol,5.3, (406),1h 32m,family
160. Chicken Coop,7.5, (8),1h 26m,family
161. Windcatcher,3.8, (26),1h 26m,family
162. 14 Days Love,7.6, (66),1h 30m,family
163. The Magic Penguin,5.8, (152),1h 51m,family
164. Planet 7693,3.5, (13),2h 22m,family
165. Treasure Trackers,8.4, (34),2h 25m,family
166. We Believe,8.1, (20),1h 42m,family
167. Khusma,6.3, (296),1h 30m,family
"168. Robotia, the Movie",7.7, (2.3K),1h 30m,family
169. Niko: Beyond the Northern Lights,8.7, (406),1h 40m,family
170. Emma,7.3, (2.6K),1h 24m,family
171. Daaru Na Peenda Hove,9.3, (25),1h 5m,family
172. Ole Aale,7.5, (59),1h 11m,family
173. Rajkumar,6.9, (127),1h 51m,family
174. Lucy and the Lake Monster,4.0, (124),1h 32m,family
175. Our Church Thinks We're Dating,5.7, (66),2h 26m,family
176. BeBe Winans' We Three Kings,7.1, (97),1h 30m,family
177. Ducobu passe au vert!,6.1, (27),1h 47m,family
178. Die Chaosschwestern und Pinguin Paul,7.0, (26),1h 13m,family
179. The Proud Princess,9.0, (2.1K),1h 10m,family
180. Tri kota. Zimnie kanikuly,5.4, (127),1h 28m,family
