Title,Rating,Votes,Duration,Genre
1. Moana 2,6.7, (87K),1h 40m,fantasy
2. Flow,7.9, (58K),1h 25m,fantasy
3. Nosferatu,7.3, (178K),2h 12m,fantasy
4. Wicked,7.5, (141K),2h 40m,fantasy
5. Sonic the Hedgehog 3,6.9, (52K),1h 50m,fantasy
6. Parthenope,6.7, (8.9K),2h 17m,fantasy
7. Mufasa: The Lion King,6.6, (47K),1h 58m,fantasy
8. Better Man,7.6, (22K),2h 15m,fantasy
9. The Lord of the Rings: The War of the Rohirrim,6.3, (28K),2h 14m,fantasy
10. The Life of Chuck,7.7, (459),1h 50m,fantasy
11. Megalopolis,4.7, (34K),2h 18m,fantasy
12. The Watchers,5.7, (55K),1h 42m,fantasy
13. Beetlejuice Beetlejuice,6.7, (143K),1h 45m,fantasy
14. Inside Out 2,7.5, (211K),1h 36m,fantasy
15. The Crow,4.7, (32K),1h 51m,fantasy
16. Red One,6.3, (137K),2h 3m,fantasy
17. Transformers One,7.6, (47K),1h 44m,fantasy
18. Solo Leveling: ReAwakening,8.7, (6.7K),2h 1m,fantasy
19. Damsel,6.1, (108K),1h 50m,fantasy
20. IF,6.4, (57K),1h 44m,fantasy
21. Ghostbusters: Frozen Empire,6.1, (92K),1h 55m,fantasy
22. Godzilla x Kong: The New Empire,6.1, (119K),1h 55m,fantasy
23. Harold and the Purple Crayon,5.7, (7.9K),1h 30m,fantasy
24. Uglies,4.7, (32K),1h 40m,fantasy
25. Kung Fu Panda 4,6.3, (67K),1h 34m,fantasy
26. The Garfield Movie,5.7, (24K),1h 41m,fantasy
27. Kalki 2898 AD,7.0, (66K),3h,fantasy
28. Descendants: The Rise of Red,4.7, (6.9K),1h 31m,fantasy
29. Rebel Moon - Part Two: The Scargiver,5.3, (59K),2h 2m,fantasy
30. Spellbound,5.7, (6.3K),1h 49m,fantasy
31. Hagen,6.1, (1K),2h 19m,fantasy
32. The End,5.5, (1.6K),2h 28m,fantasy
33. Monster Summer,5.7, (3.5K),1h 37m,fantasy
34. The Tearsmith,5.2, (12K),1h 43m,fantasy
35. Saving Bikini Bottom: The Sandy Cheeks Movie,3.7, (3.7K),1h 22m,fantasy
36. Girl Haunts Boy,6.3, (2.8K),1h 40m,fantasy
37. Irish Wish,5.2, (21K),1h 33m,fantasy
