Title,Rating,Votes,Duration,Genre
1. I'm Still Here,8.4, (94K),2h 17m,history
2. The Apprentice,7.1, (50K),2h 2m,history
3. William Tell,5.8, (1.6K),2h 13m,history
4. September 5,7.1, (20K),1h 35m,history
5. Saturday Night,6.9, (29K),1h 49m,history
6. The Count of Monte-Cristo,7.6, (32K),2h 58m,history
7. Queer,6.5, (18K),2h 17m,history
8. The Six Triple Eight,6.7, (25K),2h 7m,history
9. Small Things Like These,6.8, (20K),1h 38m,history
10. The Girl with the Needle,7.5, (12K),2h 3m,history
11. The Return,6.2, (7.4K),1h 56m,history
12. Reagan,6.2, (11K),2h 21m,history
13. Bonhoeffer: Pastor. Spy. Assassin.,6.3, (3.3K),2h 13m,history
14. Blitz,6.2, (16K),2h,history
15. Unfrosted,5.5, (34K),1h 37m,history
16. The Devil's Bath,6.6, (5.8K),2h 1m,history
17. Vermiglio,6.9, (3.5K),1h 59m,history
18. Joy,7.1, (8.9K),1h 55m,history
19. The Children's Train,7.4, (6.7K),1h 46m,history
20. Waves,8.2, (1.5K),2h 11m,history
21. 11 Rebels,6.2, (255),2h 35m,history
22. Being Maria,6.1, (525),1h 40m,history
23. Escape from Germany,5.3, (901),1h 37m,history
24. Grand Tour,6.5, (1.4K),2h 8m,history
25. Uprising,6.6, (5.3K),2h 6m,history
26. Maharaj,6.5, (15K),2h 11m,history
27. Before Dawn,5.4, (929),1h 41m,history
28. Harbin,6.5, (485),1h 48m,history
29. Chhava,8.6, (2.2K),51m,history
30. Goebbels and the Führer,6.7, (1.9K),2h 15m,history
31. The New Year That Never Came,8.2, (4.8K),2h 18m,history
"32. From Hilde, with Love",7.0, (753),2h 5m,history
33. No Chains No Masters,6.4, (475),1h 38m,history
34. Seize Them!,5.1, (1.2K),1h 31m,history
35. Housewife of the Year,7.9, (41),1h 21m,history
36. In Her Place,6.2, (1.4K),1h 36m,history
37. Shirley,6.2, (3.3K),1h 57m,history
38. Golden Kamuy,6.3, (2.5K),2h 7m,history
39. Harvest,6.1, (324),2h 11m,history
40. Sucha Soorma,6.5, (908),2h 16m,history
41. Shivrayancha Chhava,7.1, (403),1h 20m,history
42. Witches,7.4, (1.1K),1h 30m,history
43. Bibi Rajni,8.6, (708),2h 23m,history
44. The Flood,6.6, (171),1h 41m,history
45. Razakar: The Silent Genocide of Hyderabad,7.4, (5.3K),2h 46m,history
46. The Ballad of Davy Crockett,4.6, (244),1h 36m,history
47. Limonov: The Ballad of Eddie,6.0, (732),2h 18m,history
"48. Love, Courage and the Battle of Bushy Run",5.0, (172),1h 53m,history
49. Now or Never!,2.1, (17K),2h 26m,history
50. Quisling: The Final Days,7.1, (1K),1h 47m,history
51. Witch,5.1, (1.4K),2h 22m,history
52. Chandu Champion,7.8, (34K),1h 38m,history
53. The Last Front,5.5, (598),1h 48m,history
54. Louise Violet,6.5, (139),1h 58m,history
55. Intoxicated by Love,8.5, (12K),2h 37m,history
56. Color of Victory,6.1, (40K),2h,history
57. Six Days in August,6.1, (117),2h 21m,history
58. Atatürk II: 1881-1919,8.9, (1.9K),3h 1m,history
59. Maidaan,7.9, (23K),1h 29m,history
60. The Damned,5.3, (792),2h 54m,history
61. Dharmarakshak Mahaveer Chhatrapati Sambhaji Maharaj,8.2, (651),2h 36m,history
62. Thangalaan,6.6, (6.5K),1h 16m,history
63. Einstein and the Bomb,6.2, (4K),1h 43m,history
64. The Commandant's Shadow,7.3, (1K),2h 24m,history
65. The Volunteers: The Battle of Life and Death,6.2, (214),1h 46m,history
66. Gloria!,6.6, (957),2h 25m,history
67. Kingdom 4: Return of the Great General,7.1, (1.2K),1h 44m,history
68. Battlefield,6.2, (636),1h 55m,history
69. Ka Whawhai Tonu,7.4, (169),1h 25m,history
70. Never Alone,7.2, (402),2h 3m,history
71. The Great Ambition,7.2, (666),1h 38m,history
72. Apollo 13: Survival,7.3, (2.3K),1h 50m,history
73. Operation Undead,4.6, (350),1h 36m,history
74. V13,8.0, (5),1h 54m,history
75. Something to Stand for with Mike Rowe,8.7, (279),1h 40m,history
76. Janis Ian: Breaking Silence,8.6, (35),1h 40m,history
77. Unsinkable,5.7, (137),4h 1m,history
78. Simona Kossak,6.1, (278),2h 13m,history
79. Die Ermittlung: Oratorium in 11 Gesängen,7.6, (152),1h 52m,history
80. The Kingdom,7.9, (85),1h 50m,history
81. Meeting with Pol Pot,6.4, (348),1h 53m,history
82. Apocalypse in the Tropics,7.4, (83),2h,history
83. Kupu-Kupu Kertas,7.0, (113),2h,history
84. Conquer: Lahad Datu,6.7, (495),1h 38m,history
85. Ahl Al Kahf,5.2, (237),2h 9m,history
86. Greenwood Rising: The Rise of Black Wall Street,7.1, (88),1h 52m,history
87. Vindication Swim,6.0, (200),1h 30m,history
88. Bushido,6.8, (235),2h 36m,history
89. Landesverräter,5.8, (90),2h 2m,history
90. Lula,5.5, (177),1h 48m,history
91. Kasoombo,8.2, (633),1h 59m,history
92. Red Poppies,4.7, (294),1h 52m,history
93. From Darkness to Light,7.4, (159),1h 42m,history
94. Bahodir Yalangto'sh,9.2, (65),1h 17m,history
95. The Peanut Man,5.6, (69),1h 38m,history
96. House of Ga'a,3.9, (487),1h 30m,history
97. Sinhabahu,6.4, (84),2h 8m,history
98. Patrice: The Movie,8.3, (220),1h 30m,history
99. Mysteries of the Terracotta Warriors,6.7, (1.6K),1h 28m,history
"100. Carville: Winning Is Everything, Stupid",7.2, (246),1h 42m,history
101. Jesus Crown of Thorns,6.1, (46),1h 30m,history
102. A Country Called Ghana,9.5, (9),1h 25m,history
103. Ennio Doris - C'è anche domani,5.3, (92),2h 13m,history
104. Bir Cumhuriyet Sarkisi,7.7, (369),1h 35m,history
105. ABBA: Against the Odds,7.4, (397),2h 12m,history
106. Solos en la noche,5.8, (91),2h 6m,history
107. Silver Star,6.9, (15),1h 28m,history
108. The Shadow,6.5, (240),2h 11m,history
109. Bardejov,4.8, (176),1h 13m,history
110. Ae Watan Mere Watan,4.7, (1.4K),1h 43m,history
111. The Impact: Groundbreaking Documentary,8.2, (57),2h 5m,history
112. Obraz,7.5, (15),1h 30m,history
113. Yatra 2,6.3, (9.7K),2h,history
114. Boat,5.5, (1K),1h 15m,history
115. Death Game,6.3, (24),2h 30m,history
116. Komandir,6.3, (513),2h,history
117. America's Woman,6.7, (260),1h 31m,history
118. Blood'less' Revolution,7.7, (408),1h 47m,history
119. Legend of the Lizard,6.6, (330),1h 59m,history
120. Sadik Ahmet,7.1, (120),1h 29m,history
121. Quo Vadis,6.5, (19),2h 42m,history
122. Memoir Seorang Guru,6.4, (76),2h 45m,history
123. Aquarius,8.9, (48),2h 17m,history
"124. Zeme, kas dzied",7.6, (38),1h 15m,history
125. Taghiev: Oil,6.4, (121),1h 39m,history
126. Hope of Escape,6.4, (128),1h 30m,history
127. Lisabi: The Uprising,6.2, (167),1h 57m,history
128. Jorge da Capadócia,6.7, (99),2h 13m,history
129. Bach - Ein Weihnachtswunder,5.0, (899),1h 48m,history
130. The Embers,7.0, (704),1h 55m,history
131. Aliens Return,6.9, (73),2h 29m,history
132. Gangs of Godavari,6.3, (58),1h 55m,history
133. You Are Always Right Here,5.7, (17),1h 22m,history
134. Six Nine Five (695),6.6, (18),1h 46m,history
135. Mustafa,8.9, (20),1h 43m,history
