Title,Rating,Votes,Duration,Genre
1. Heretic,7.0, (119K),1h 51m,horror
2. The Substance,7.3, (279K),2h 21m,horror
3. Nosferatu,7.3, (178K),2h 12m,horror
4. Trap,5.8, (130K),1h 45m,horror
5. Presence,6.2, (17K),1h 24m,horror
6. Longlegs,6.6, (178K),1h 41m,horror
7. Smile 2,6.7, (97K),2h 7m,horror
8. Alien: Romulus,7.1, (237K),1h 59m,horror
9. Hellboy: The Crooked Man,4.5, (12K),1h 39m,horror
10. Night of the Zoopocalypse,6.2, (315),1h 31m,horror
11. Speak No Evil,6.8, (92K),1h 50m,horror
12. MaXXXine,6.3, (67K),1h 43m,horror
13. The Watchers,5.7, (55K),1h 42m,horror
14. Abigail,6.6, (94K),1h 49m,horror
15. Kinds of Kindness,6.5, (58K),2h 44m,horror
16. Beetlejuice Beetlejuice,6.7, (143K),1h 45m,horror
17. The Crow,4.7, (32K),1h 51m,horror
18. The Rule of Jenny Pen,6.5, (592),1h 44m,horror
19. Terrifier 3,6.3, (47K),2h 5m,horror
20. Oddity,6.7, (40K),1h 38m,horror
21. Nightbitch,5.6, (18K),1h 39m,horror
22. A Quiet Place: Day One,6.3, (145K),1h 39m,horror
23. In a Violent Nature,5.6, (25K),1h 34m,horror
24. I Saw the TV Glow,5.8, (35K),1h 40m,horror
25. Cuckoo,5.7, (25K),1h 42m,horror
26. Rumours,5.0, (4.2K),1h 44m,horror
27. Don't Move,5.8, (38K),1h 32m,horror
28. Azrael,5.4, (10K),1h 26m,horror
29. Immaculate,5.8, (51K),1h 29m,horror
30. Y2K,4.9, (9.7K),1h 31m,horror
31. The Shrouds,5.8, (733),1h 59m,horror
32. The First Omen,6.5, (63K),1h 59m,horror
33. Werewolves,4.4, (6K),1h 33m,horror
34. We Bury the Dead,7.1, (75),1h 34m,horror
35. Salem's Lot,5.6, (33K),1h 54m,horror
36. Arcadian,5.5, (22K),1h 32m,horror
37. Apartment 7A,5.9, (16K),1h 47m,horror
38. MadS,6.4, (6.9K),1h 29m,horror
39. Apocalypse Z: The Beginning of the End,6.1, (19K),1h 57m,horror
40. Get Away,5.3, (6.1K),1h 26m,horror
41. Your Monster,6.4, (5.4K),1h 43m,horror
42. Time Cut,5.0, (18K),1h 31m,horror
43. The Devil's Bath,6.6, (5.8K),2h 1m,horror
44. Winnie-the-Pooh: Blood and Honey 2,4.7, (11K),1h 33m,horror
45. Tarot,4.8, (31K),1h 32m,horror
46. Exhuma,6.9, (23K),2h 14m,horror
47. The Deliverance,5.1, (22K),1h 52m,horror
48. The Damned,5.7, (3.6K),1h 29m,horror
49. Afraid,5.2, (13K),1h 24m,horror
50. Stree 2: Sarkate Ka Aatank,6.9, (41K),2h 27m,horror
51. Things Will Be Different,5.2, (2.3K),1h 42m,horror
52. Grafted,5.6, (2K),1h 36m,horror
53. The Strangers: Chapter 1,4.6, (22K),1h 31m,horror
54. Sumala,5.8, (767),1h 52m,horror
55. Never Let Go,5.4, (13K),1h 41m,horror
56. Bagman,4.6, (4.4K),1h 33m,horror
57. Under Paris,5.2, (36K),1h 44m,horror
58. Lisa Frankenstein,6.1, (28K),1h 41m,horror
59. Daddy's Head,5.6, (4.6K),1h 32m,horror
60. Stream,5.6, (6.8K),2h 3m,horror
61. The Platform 2,4.9, (39K),1h 39m,horror
62. The Mouse Trap,2.5, (3.1K),1h 20m,horror
63. Die Alone,5.7, (2.6K),1h 31m,horror
64. Little Bites,4.6, (1.1K),1h 45m,horror
65. Blackwater Lane,4.6, (1.8K),1h 48m,horror
66. The Inheritance,4.7, (2.8K),1h 25m,horror
67. Night Swim,4.7, (27K),1h 38m,horror
