Title,Rating,Votes,Duration,Genre
1. Moana 2,6.7, (87K),1h 40m,musical
2. Wicked,7.5, (141K),2h 40m,musical
3. Emilia Pérez,5.4, (84K),2h 12m,musical
4. Mufasa: The Lion King,6.6, (47K),1h 58m,musical
5. Better Man,7.6, (22K),2h 15m,musical
6. Joker: Folie à Deux,5.2, (156K),2h 18m,musical
7. Spermageddon,5.7, (595),1h 20m,musical
8. Mean Girls,5.6, (37K),1h 52m,musical
9. Descendants: The Rise of Red,4.7, (6.9K),1h 31m,musical
10. Spellbound,5.7, (6.3K),1h 49m,musical
11. The End,5.5, (1.6K),2h 28m,musical
12. Piece by Piece,6.9, (5.1K),1h 33m,musical
13. The Merry Gentlemen,4.8, (10K),1h 27m,musical
14. Thelma the Unicorn,5.7, (2.9K),1h 33m,musical
15. This Is Me... Now,4.1, (7.1K),1h 5m,musical
16. How Could I Live Without You?,6.9, (921),1h 45m,musical
17. The Deb,7.7, (68),2h 1m,musical
18. The Night Before Christmas in Wonderland,6.3, (507),1h 20m,musical
19. Girl from the North Country,7.0, (12),2h 32m,musical
20. Victory,6.4, (219),2h,musical
21. O Melhor Amigo,7.4, (25),1h 36m,musical
22. Chainsaws Were Singing,7.2, (341),1h 57m,musical
23. Fox & Hare Save the Forest,5.9, (192),1h 11m,musical
24. Noah's Ark,4.3, (624),1h 36m,musical
25. Dans la cuisine des Nguyen,7.3, (59),1h 39m,musical
26. Polvo serán,6.7, (280),1h 46m,musical
27. Gaga Chromatica Ball,8.1, (2K),1h 57m,musical
28. Bonnie and Clyde: The Musical,7.6, (84),2h 30m,musical
29. The Opera!,7.2, (46),1h 46m,musical
30. Queens of Drama,6.4, (170),1h 54m,musical
31. Shannon Matthews the Musical the Movie,8.0, (176),1h 31m,musical
32. Varshangalkku Shesham,6.6, (4.1K),2h 46m,musical
33. Amaltash,8.1, (144),1h 53m,musical
34. Captain Avispa,5.8, (172),1h 36m,musical
35. Magic,9.3, (14),1h 30m,musical
36. First Nights at Freddy's,8.1, (77),1h 38m,musical
37. Dongeng Sang Kancil,8.6, (289),1h 39m,musical
38. Eating Me Up,6.3, (170),1h 44m,musical
39. Kajolrekha,6.5, (181),2h 36m,musical
40. Bring on the Damned!,8.3, (47),1h 54m,musical
41. From Corinne's Heart,4.2, (1.7K),1h 45m,musical
42. Sisters and Neighbors!,7.7, (26),1h 55m,musical
43. Carol,7.5, (23),2h 3m,musical
44. Petta Rap,6.4, (9),2h 41m,musical
"45. Kiss Me, Kate: The Musical",7.2, (17),2h 25m,musical
46. Isang himala,2.6, (220),1h 47m,musical
47. Heart Strings,8.7, (54),1h 44m,musical
48. Nature Cat's Nature Movie Special Extraordinaire,8.6, (7),21m,musical
49. Pattaapakal,5.0, (75),2h 2m,musical
50. The Brink Of,5.7, (17),1h,musical
51. KorimDick,6.9, (19),1h 15m,musical
52. The Good Loan Sharks,8.1, (28),2h 13m,musical
53. Maria Callas,6.6, (69),1h 42m,musical
54. Wieland,6.4, (133),1h 36m,musical
55. Eco Village,7.9, (54),TV-PG,musical
56. Benjamin Bat,7.2, (12),1h 34m,musical
57. Krispy Rishtey,6.5, (80),1h 24m,musical
58. Trapezium,6.4, (73),1h 32m,musical
59. Peas and Carrots,5.3, (6),1h 34m,musical
60. My Favourite Things: The Rodgers & Hammerstein 80th Anniversary Concert,8.8, (13),1h 47m,musical
61. Call Me Agnes,5.7, (54),1h 13m,musical
62. El Sobreviviente Elizalde,8.9, (23),1h 14m,musical
63. Shahid,6.8, (19),1h 29m,musical
64. Freydís and Gudrid,6.8, (47),1h 30m,musical
65. Hov1 4-ever,4.0, (47),1h 20m,musical
66. Keo=peul-ji-ok,9.8, (13),1h 53m,musical
67. Between the Lines,5.8, (53),1h,musical
68. Podrostki. Pervaya lyubov,7.5, (38),1h 59m,musical
69. Magic,6.4, (24),1h 30m,musical
70. Sight & Sound Presents: Daniel LIVE,6.8, (21),1h 27m,musical
71. Life with Quincy 3,9.2, (111),2h 18m,musical
72. Ishq Mubarak,7.0, (9),55m,musical
73. Jane Eyre,4.5, (12),1h 43m,musical
74. Salvation,9.8, (17),2h 14m,musical
75. Het Feest van Tante Rita 2 - De Chocobom,5.5, (7),2h 2m,musical
76. Zhi Ci Qing Lv,6.6, (7),1h 10m,musical
77. Civil Christmas,9.0, (7),58m,musical
78. Under Streetlights,2.9, (13),1h 20m,musical
79. Koorzang,8.6, (6),2h 40m,musical
80. Jesterpus: A Musical Comedy of Horrors,5.5, (6),1h,musical
