Title,Rating,Votes,Duration,Genre
1. Nosferatu,7.3, (178K),2h 12m,mystery
2. Trap,5.8, (130K),1h 45m,mystery
3. Blink Twice,6.5, (100K),1h 42m,mystery
4. Smile 2,6.7, (97K),2h 7m,mystery
5. Paddington in Peru,6.7, (17K),1h 46m,mystery
6. Juror #2,7.0, (91K),1h 54m,mystery
7. Hellboy: The Crooked Man,4.5, (12K),1h 39m,mystery
8. The Watchers,5.7, (55K),1h 42m,mystery
9. F*** Marry Kill,5.2, (1.8K),1h 37m,mystery
10. The Rule of Jenny Pen,6.5, (592),1h 44m,mystery
11. Red One,6.3, (137K),2h 3m,mystery
12. Love Lies Bleeding,6.6, (56K),1h 44m,mystery
13. It's What's Inside,6.6, (40K),1h 43m,mystery
14. Caddo Lake,6.8, (40K),1h 43m,mystery
15. Cuckoo,5.7, (25K),1h 42m,mystery
16. Absolution,5.2, (7.4K),1h 52m,mystery
17. Sleeping Dogs,6.2, (21K),1h 50m,mystery
18. The Instigators,6.2, (37K),1h 41m,mystery
19. Time Cut,5.0, (18K),1h 31m,mystery
20. Killer Heat,5.6, (13K),1h 35m,mystery
21. Exhuma,6.9, (23K),2h 14m,mystery
22. Long Gone Heroes,5.2, (966),1h 41m,mystery
23. The Damned,5.7, (3.6K),1h 29m,mystery
24. Afraid,5.2, (13K),1h 24m,mystery
25. Force of Nature: The Dry 2,5.9, (6.7K),2h,mystery
26. Watchmen: Chapter I,7.0, (6.3K),1h 23m,mystery
27. Sookshma Darshini,7.8, (9.4K),2h 22m,mystery
28. Kishkindha Kaandam,8.0, (11K),2h 13m,mystery
29. Monster Summer,5.7, (3.5K),1h 37m,mystery
30. Die Alone,5.7, (2.6K),1h 31m,mystery
31. Blackwater Lane,4.6, (1.8K),1h 48m,mystery
32. Night Swim,4.7, (27K),1h 38m,mystery
33. Boneyard,4.1, (4.8K),1h 36m,mystery
34. A Sacrifice,5.1, (5K),1h 34m,mystery
35. The Girl in the Pool,4.3, (1.4K),1h 29m,mystery
36. Outbreak,4.4, (802),1h 28m,mystery
37. The Dead Thing,4.7, (804),1h 34m,mystery
38. Watchmen: Chapter II,7.0, (2.8K),1h 30m,mystery
39. The Lost Daughter,5.8, (278),1h 39m,mystery
40. Skincare,5.7, (4.2K),1h 36m,mystery
41. Imaginary,4.7, (17K),1h 44m,mystery
42. Orion and the Dark,6.3, (17K),1h 33m,mystery
43. Damaged,4.7, (7.1K),1h 37m,mystery
44. Handling the Undead,5.4, (4.2K),1h 37m,mystery
45. The Best Christmas Pageant Ever,6.8, (6K),1h 39m,mystery
46. Reunion,5.6, (3.4K),1h 30m,mystery
47. Turtles All the Way Down,6.6, (6.8K),1h 51m,mystery
48. Colors of Evil: Red,6.4, (8.3K),1h 51m,mystery
49. The Redemption of Sin,6.1, (121),1h 56m,mystery
50. Faultline,6.0, (71),1h 32m,mystery
51. The Sand Castle,4.7, (1.6K),1h 38m,mystery
52. Depravity,4.3, (911),1h 57m,mystery
53. City Hunter,6.3, (5.5K),1h 42m,mystery
54. Pedro Páramo,6.3, (2.8K),2h 10m,mystery
55. Drugstore June,5.3, (1.7K),1h 31m,mystery
56. Do Patti,6.4, (68K),2h 6m,mystery
57. The American Backyard,6.3, (137),1h 47m,mystery
58. Badland Hunters,5.9, (12K),1h 47m,mystery
59. The Soul Eater,5.9, (2.4K),1h 48m,mystery
60. The Tiger's Apprentice,5.7, (2.1K),1h 24m,mystery
61. Sikandar Ka Muqaddar,6.0, (24K),2h 22m,mystery
62. Drive Back,4.7, (287),1h 34m,mystery
63. The Price of Money: A Largo Winch Adventure,5.1, (1.1K),1h 40m,mystery
64. Desert Fiends,8.5, (377),1h 46m,mystery
65. The Image of You,4.6, (794),1h 30m,mystery
66. Golam,7.2, (5.5K),2h,mystery
67. Strictly Confidential,2.8, (829),1h 34m,mystery
68. Cult Killer,4.8, (2.7K),1h 45m,mystery
69. Karma,8.1, (1.4K),2h 47m,mystery
70. Bougainvillea,6.4, (3K),2h 18m,mystery
71. A Place Called Silence,6.5, (1.2K),1h 59m,mystery
72. Hidden Face,6.1, (472),1h 55m,mystery
73. Cinderella's Curse,3.3, (1.3K),1h 22m,mystery
74. Rippy,4.1, (818),1h 23m,mystery
75. Inheritance,5.1, (3.4K),1h 34m,mystery
76. Crescent City,3.9, (1.3K),1h 43m,mystery
77. Dan Da Dan: First Encounter,8.2, (2.6K),1h 23m,mystery
78. Witchboard,7.6, (86),1h 55m,mystery
79. American Star,5.5, (2.4K),1h 47m,mystery
80. Perewangan,6.0, (104),1h 49m,mystery
81. #AMFAD: All My Friends Are Dead,4.5, (1.2K),1h 31m,mystery
82. Mr. K,6.2, (349),1h 34m,mystery
83. Compulsion,3.7, (1.1K),1h 34m,mystery
84. Cinderella's Revenge,3.0, (694),1h 25m,mystery
85. Cellphone,7.2, (4.4K),1h 28m,mystery
86. Thalavan,3.8, (4.4K),2h 11m,mystery
87. Bloodline Killer,5.4, (819),1h 45m,mystery
88. Revolver,3.3, (985),1h 54m,mystery
89. The Hangman,4.5, (360),1h 32m,mystery
90. Believer,5.2, (117),1h 48m,mystery
91. Held Hostage in My House,6.9, (436),1h 30m,mystery
92. Arcadia,7.4, (10K),1h 39m,mystery
93. Anweshippin Kandethum,7.5, (88),2h 22m,mystery
94. Saint Clare,4.7, (631),1h 32m,mystery
95. Killer Body Count,3.4, (158),1h 49m,mystery
96. Dark Night of the Soul,5.9, (406),1h 21m,mystery
97. The Monster Beneath Us,3.5, (164),1h 43m,mystery
98. Séance Games: Metaxu,3.6, (126),1h 26m,mystery
99. The Private Eye,4.1, (449),1h 55m,mystery
100. Last Stop: Rocafort St.,5.0, (31),1h 29m,mystery
101. Karma's a Bitch,6.9, (267),1h 29m,mystery
102. Heresy,6.9, (30K),1h 1m,mystery
103. Merry Christmas,6.5, (63),2h 24m,mystery
104. What Happened to Suzy,7.1, (2.7K),1h 34m,mystery
105. Black,5.7, (116),1h 55m,mystery
106. Triumph,6.8, (1.1K),1h 38m,mystery
107. Mononoke the Movie: The Phantom in the Rain,4.3, (195),1h 29m,mystery
108. Salawahan,6.4, (1.2K),1h 56m,mystery
109. Following,3.5, (178),1h 42m,mystery
110. The Manifestation,4.1, (2.2K),1h 24m,mystery
111. ClearMind,5.8, (51K),1h 25m,mystery
112. Murder Mubarak,5.9, (3.2K),2h 20m,mystery
113. They Called Him Mostly Harmless,4.3, (171),1h 29m,mystery
114. Go Away,4.2, (370),1h 26m,mystery
115. Stupid Games,6.4, (97),1h 54m,mystery
116. Gazer,5.8, (6.7K),2h 12m,mystery
117. Phir Aayi Hasseen Dillruba,3.3, (171),1h 32m,mystery
118. Chapel,5.0, (546),1h 35m,mystery
119. From Darkness,6.9, (41),1h 34m,mystery
120. Bone Lake,5.2, (1.3K),1h 50m,mystery
121. Borderless Fog,4.8, (29),1h 12m,mystery
122. The Stalking,5.4, (695),1h 28m,mystery
123. Horror in the High Desert 3: Firewatch,8.3, (18),1h 38m,mystery
124. Dirty Boy,6.4, (35),1h 52m,mystery
125. Somebody,6.5, (4.1K),1h 24m,mystery
126. About a Hero,7.5, (384),2h 23m,mystery
127. Abraham Ozler,5.7, (74),1h 21m,mystery
128. Solvent,6.9, (45),1h 29m,mystery
129. Memes & Nightmares,6.7, (55),1h 22m,mystery
130. In Our Blood,7.0, (42),1h 16m,mystery
131. Seeds,6.4, (775),2h 4m,mystery
132. Haze,9.0, (44),1h 36m,mystery
133. Chaalchitro: The Frame Fatale,5.6, (1.1K),2h 19m,mystery
134. Hunting Matthew Nichols,6.2, (417),1h 48m,mystery
135. Rakshana,5.7, (257),1h 52m,mystery
136. Shigatsu ni nareba kanojo wa,5.8, (1.2K),1h 50m,mystery
137. The Yin Yang Master Zero,3.4, (218),1h 23m,mystery
138. 10 Days of a Curious Man,3.9, (169),1h 20m,mystery
139. Campton Manor,6.4, (2K),2h 27m,mystery
140. Amp House Massacre,8.1, (101),1h 45m,mystery
141. Gaami,5.6, (105),1h 37m,mystery
142. The Ruse,5.7, (4.1K),2h 2m,mystery
143. Not Your Average Family,3.9, (154),1h 40m,mystery
144. Dancing Village: The Curse Begins,2.8, (11),1h 43m,mystery
"145. Silent Night, Bloody Night 3: Descent",4.2, (355),1h 35m,mystery
146. Burning Butterflies,4.2, (178),1h 29m,mystery
147. Paranoia,6.2, (60),1h 52m,mystery
148. Deadly Invitations,9.4, (16),2h 21m,mystery
149. Transamazonia,6.3, (266),1h 51m,mystery
150. An Intruder Among Us,6.8, (1.4K),1h 22m,mystery
151. Bhoothaddam Bhaskar Narayana,3.6, (302),1h 24m,mystery
152. Detective Conan: The Million-Dollar Pentagram,4.1, (463),1h 24m,mystery
153. 9 Windows,2.8, (252),1h 28m,mystery
154. A Stranger in the Woods,4.0, (357),1h 29m,mystery
155. Killer Influence,5.2, (287),2h 22m,mystery
156. Murder and Cocktails,6.7, (1.2K),1h 28m,mystery
157. Free Falling,3.0, (137),1h 40m,mystery
158. Andhagan,6.7, (394),1h 30m,mystery
159. Behave,5.7, (312),1h 33m,mystery
160. Brief History of a Family,7.9, (45),1h 51m,mystery
161. Drive,5.3, (114),1h 45m,mystery
162. Algiers,6.2, (61),2h 13m,mystery
163. Vertical,6.9, (1.1K),1h 34m,mystery
