Title,Rating,Votes,Duration,Genre
1. Anora,7.6, (149K),2h 19m,romance
2. Wicked,7.5, (141K),2h 40m,romance
3. Babygirl,6.0, (47K),1h 54m,romance
4. It Ends with Us,6.4, (81K),2h 10m,romance
5. We Live in Time,7.0, (48K),1h 48m,romance
6. The Count of Monte-Cristo,7.6, (32K),2h 58m,romance
7. Queer,6.5, (18K),2h 17m,romance
8. The Fall Guy,6.8, (216K),2h 6m,romance
9. F*** Marry Kill,5.2, (1.8K),1h 37m,romance
10. The Crow,4.7, (32K),1h 51m,romance
11. Fly Me to the Moon,6.6, (48K),2h 12m,romance
12. Love Lies Bleeding,6.6, (56K),1h 44m,romance
13. My Old Ass,6.9, (37K),1h 29m,romance
14. The Idea of You,6.3, (72K),1h 55m,romance
15. All We Imagine as Light,7.1, (8.8K),1h 58m,romance
16. A Family Affair,5.3, (36K),1h 51m,romance
17. Sidelined: The QB and Me,5.9, (3.5K),1h 39m,romance
18. Culpa Tuya,5.2, (12K),1h 58m,romance
19. Beating Hearts,7.0, (4K),2h 46m,romance
20. Your Monster,6.4, (5.4K),1h 43m,romance
21. Jane Austen Wrecked My Life,6.5, (150),1h 34m,romance
22. Killer Heat,5.6, (13K),1h 35m,romance
23. Guilty Pleasure,5.6, (68),1h 59m,romance
24. Emmanuelle,4.2, (1.5K),1h 47m,romance
25. Loveable,8.1, (1.3K),1h 41m,romance
26. Young Woman and the Sea,7.5, (17K),2h 9m,romance
27. Lonely Planet,5.7, (11K),1h 34m,romance
28. A Nice Indian Boy,7.2, (149),1h 36m,romance
29. Grafted,5.6, (2K),1h 36m,romance
30. Find Me Falling,6.3, (12K),1h 33m,romance
31. Love Me,5.2, (2.2K),1h 31m,romance
32. Someone Like You,5.8, (2K),1h 58m,romance
33. Upgraded,6.1, (29K),1h 44m,romance
34. Boot Camp,5.8, (1K),1h 34m,romance
35. La Cocina,7.2, (2.3K),2h 19m,romance
36. Lisa Frankenstein,6.1, (28K),1h 41m,romance
37. We're All Gonna Die,8.4, (78),1h 50m,romance
38. The Tearsmith,5.2, (12K),1h 43m,romance
39. Touch,7.4, (5.2K),2h 1m,romance
40. Mother of the Bride,4.8, (17K),1h 28m,romance
41. Die Alone,5.7, (2.6K),1h 31m,romance
42. Girl Haunts Boy,6.3, (2.8K),1h 40m,romance
43. Mon Potongo,6.2, (126),2h 29m,romance
44. Lilies Not for Me,7.8, (75),1h 39m,romance
45. Irish Wish,5.2, (21K),1h 33m,romance
46. Chosen Family,4.7, (257),1h 28m,romance
47. Winter Spring Summer or Fall,6.5, (386),1h 37m,romance
48. Players,5.7, (12K),1h 45m,romance
49. Swap,3.0, (325),1h 26m,romance
50. Our Little Secret,5.7, (23K),1h 41m,romance
51. Five Blind Dates,5.1, (1.9K),1h 23m,romance
52. The Dead Thing,4.7, (804),1h 34m,romance
53. Ask Me What You Want,3.6, (312),1h 54m,romance
54. My Favourite Cake,7.4, (6.9K),1h 37m,romance
55. Grand Tour,6.5, (1.4K),2h 8m,romance
56. Girls Will Be Girls,7.1, (2.3K),1h 58m,romance
57. The Best Christmas Pageant Ever,6.8, (6K),1h 39m,romance
58. Lick,6.3, (718),1h 15m,romance
59. Turn Me On,5.6, (431),1h 39m,romance
60. Role Play,5.5, (19K),1h 40m,romance
61. How to Date Billy Walsh,5.2, (3.9K),1h 38m,romance
62. Turtles All the Way Down,6.6, (6.8K),1h 51m,romance
63. Beautiful Wedding,4.1, (4K),1h 40m,romance
64. Vulgar,6.7, (103),1h 43m,romance
65. The Merry Gentlemen,4.8, (10K),1h 27m,romance
66. Gone Running,7.1, (3.8K),1h 45m,romance
67. City Hunter,6.3, (5.5K),1h 42m,romance
68. Pedro Páramo,6.3, (2.8K),2h 10m,romance
69. The Greatest Hits,6.2, (7.2K),1h 34m,romance
70. This Is Me... Now,4.1, (7.1K),1h 5m,romance
71. This Time Next Year,5.6, (2.1K),1h 56m,romance
72. You Are the Apple of My Eye,7.6, (3.3K),1h 41m,romance
73. Through My Window: Looking at You,5.4, (5K),1h 45m,romance
74. Take My Hand,6.3, (282),1h 42m,romance
