Title,Rating,Votes,Duration,Genre
1. The Substance,7.3, (279K),2h 21m,sci-fi
2. Sonic the Hedgehog 3,6.9, (52K),1h 50m,sci-fi
3. Venom: The Last Dance,6.0, (107K),1h 50m,sci-fi
4. The Wild Robot,8.2, (151K),1h 42m,sci-fi
5. Dune: Part Two,8.5, (612K),2h 46m,sci-fi
6. Elevation,5.6, (19K),1h 31m,sci-fi
7. Furiosa: A Mad Max Saga,7.5, (279K),2h 28m,sci-fi
8. Deadpool & Wolverine,7.6, (479K),2h 8m,sci-fi
9. The Day the Earth Blew Up: A Looney Tunes Movie,6.9, (1.7K),1h 31m,sci-fi
10. Borderlands,4.7, (45K),1h 41m,sci-fi
11. The Life of Chuck,7.7, (459),1h 50m,sci-fi
12. Alien: Romulus,7.1, (237K),1h 59m,sci-fi
13. Subservience,5.4, (26K),1h 46m,sci-fi
14. Despicable Me 4,6.2, (62K),1h 34m,sci-fi
15. Megalopolis,4.7, (34K),2h 18m,sci-fi
16. Kingdom of the Planet of the Apes,6.9, (149K),2h 25m,sci-fi
17. Transformers One,7.6, (47K),1h 44m,sci-fi
18. A Quiet Place: Day One,6.3, (145K),1h 39m,sci-fi
19. It's What's Inside,6.6, (40K),1h 43m,sci-fi
20. Ghostbusters: Frozen Empire,6.1, (92K),1h 55m,sci-fi
21. Caddo Lake,6.8, (40K),1h 43m,sci-fi
22. Madame Web,4.0, (99K),1h 56m,sci-fi
23. Godzilla x Kong: The New Empire,6.1, (119K),1h 55m,sci-fi
24. Wallace & Gromit: Vengeance Most Fowl,7.5, (33K),1h 22m,sci-fi
25. Distant,5.7, (3K),1h 27m,sci-fi
26. Y2K,4.9, (9.7K),1h 31m,sci-fi
27. The Shrouds,5.8, (733),1h 59m,sci-fi
28. Spaceman,5.7, (42K),1h 47m,sci-fi
29. Uglies,4.7, (32K),1h 40m,sci-fi
30. The Assessment,7.2, (453),1h 49m,sci-fi
31. Arcadian,5.5, (22K),1h 32m,sci-fi
