Title,Rating,Votes,Duration,Genre
1. Queen of the Ring,7.0, (765),2h 20m,sport
2. The Fire Inside,6.8, (2.1K),1h 49m,sport
3. Unstoppable,6.8, (3.8K),1h 56m,sport
4. Young Woman and the Sea,7.5, (17K),2h 9m,sport
5. Arthur the King,7.0, (34K),1h 47m,sport
6. Under Paris,5.2, (36K),1h 44m,sport
7. You Gotta Believe,5.8, (1.2K),1h 44m,sport
8. Rez Ball,6.3, (2.4K),1h 51m,sport
9. The Underdoggs,5.6, (4.5K),1h 36m,sport
10. Sweet Dreams,5.4, (1.4K),1h 35m,sport
11. El Jockey,6.5, (1.6K),1h 36m,sport
12. The Beautiful Game,6.3, (8K),2h 5m,sport
13. Race for Glory: Audi vs. Lancia,5.8, (4.6K),1h 49m,sport
14. Sixty Minutes,5.7, (5.1K),1h 28m,sport
15. My Sunshine,7.1, (1.3K),1h 40m,sport
16. Little Wing,6.1, (929),1h 40m,sport
17. Chandu Champion,7.8, (34K),2h 22m,sport
18. Uranus 2324,6.6, (4.7K),2h 10m,sport
19. The Tale of Texas Pool,7.8, (72),2h 26m,sport
20. Lubber Pandhu,8.2, (5.8K),2h 37m,sport
21. Color of Victory,6.1, (40K),2h 30m,sport
22. Boxer,6.4, (1.3K),1h 25m,sport
23. Haikyu!! The Dumpster Battle,7.7, (6K),3h 1m,sport
24. Maidaan,7.9, (23K),1h 54m,sport
25. My Annoying Brother,7.5, (176),1h 50m,sport
26. Bionic,4.3, (1.7K),2h 9m,sport
27. Yolo,6.9, (3.6K),2h 46m,sport
28. Gundi: Legend of Love,9.0, (5.4K),2h 34m,sport
29. Crakk: Jeetega... Toh Jiyegaa,4.7, (6.5K),2h 25m,sport
30. Balestra,5.1, (507),1h 31m,sport
31. Blue Lock: Episode Nagi,6.6, (2.4K),1h 49m,sport
32. Giannis: The Marvelous Journey,8.3, (1.7K),1h 42m,sport
33. Samia,6.9, (122),1h 21m,sport
34. Memes & Nightmares,5.7, (74),1h 46m,sport
35. The Champion,5.5, (869),1h 28m,sport
36. Federer: Twelve Final Days,7.3, (4.1K),2h,sport
37. The Swedish Torpedo,6.4, (133),2h 1m,sport
38. Pegasus 2,7.0, (1.2K),57m,sport
39. Untold: The Murder of Air McNair,5.6, (2K),1h 35m,sport
40. Challenger,5.7, (147),1h 31m,sport
41. Pay Dirt: The Story of Supercross,5.9, (16K),2h 19m,sport
42. Mr. & Mrs. Mahi,5.7, (1.9K),1h 2m,sport
43. Baki Hanma VS Kengan Ashura,9.1, (82),1h 36m,sport
44. Diving Into the Darkness,7.3, (216),1h 50m,sport
45. Havnaa,7.4, (109),1h 48m,sport
46. Uma Musume: Pretty Derby - Beginning of a New Era,5.2, (287),1h 29m,sport
47. Free Falling,7.4, (332),1h 39m,sport
48. First Class: Full Speed!,4.4, (187),1h 31m,sport
49. The Miranda Brothers,7.5, (43),1h 29m,sport
50. Sunshine,5.0, (16),1h 17m,sport
51. Below the Rim,5.2, (83),2h 28m,sport
52. Minor Leaguer,6.4, (294),1h 52m,sport
53. Kulej. Dwie strony medalu,6.1, (1.2K),1h 35m,sport
54. Vijay 69,7.1, (157),1h 22m,sport
55. Topuria Matador,6.3, (2.4K),1h 40m,sport
56. The Final: Attack on Wembley,5.9, (77),2h 5m,sport
57. GG,6.3, (358),1h 4m,sport
58. Hayatla Baris,6.8, (100),1h 49m,sport
59. Undisputed,6.9, (21),1h 45m,sport
60. Grace by Night,6.5, (119),1h 38m,sport
61. Pierce,6.6, (30),1h 43m,sport
62. Friendly Fire,8.5, (46),2h 14m,sport
63. Las super estrellas de la lucha libre,7.8, (15),1h 35m,sport
64. Fight Like a Girl,7.8, (1.1K),1h 24m,sport
65. Nasty,8.4, (13),1h 50m,sport
66. Off the Line,6.0, (294),2h 33m,sport
67. Lyod 3,7.6, (61),1h 21m,sport
68. Ski,8.7, (153),1h 50m,sport
69. Tracing the Divide,7.7, (87),2h 26m,sport
70. Wingless,7.8, (38),1h 35m,sport
71. Concussed: The American Dream,7.4, (262),1h 27m,sport
72. Nayab,9.3, (57),1h 38m,sport
73. Champions of the Golden Valley,6.7, (14),2h 30m,sport
74. See Her Be Her,8.5, (65),1h 6m,sport
75. Cup,6.9, (605),1h 52m,sport
76. It's All Over: The Kiss That Changed Spanish Football,9.6, (18),59m,sport
77. All American,9.4, (16),2h 6m,sport
78. Passion of Iron,8.0, (17),1h 43m,sport
79. Puffing Iron,4.4, (1.3K),2h 11m,sport
80. Lal Salaam,8.2, (33),32m,sport
81. Unbreakable: England 2003,4.9, (57),2h 5m,sport
82. Fuchsia Libre,7.8, (64),1h 18m,sport
83. Deathgrip 2,7.8, (198),1h 45m,sport
84. Gold,8.9, (648),1h 50m,sport
85. In Inima Nationalei,8.2, (21),1h 52m,sport
86. Dabaru,4.7, (218),1h 27m,sport
87. Salty Amazons,7.8, (14),1h 37m,sport
88. Harimau Malaya: The Untold Journey,6.0, (194),2h 5m,sport
89. Game Changers,7.8, (47),1h 23m,sport
90. Runaway Wrestler,7.8, (1.2K),1h 30m,sport
91. Parviz Khan,7.1, (201),2h 10m,sport
92. Keluar Main 1994,5.1, (80),1h 25m,sport
93. EFC,5.9, (115),1h 40m,sport
94. Argentina '78,3.8, (213),1h 57m,sport
95. Padu,7.7, (8),1h 30m,sport
96. Fedya. Narodnyy futbolist,5.9, (21),1h 46m,sport
97. Final Heat,7.3, (223),2h 46m,sport
98. No Means No,5.2, (73),1h 32m,sport
99. Knockout Blonde: The Kellie Maloney Story,8.8, (94),2h 3m,sport
100. Patang,9.3, (531),1h 57m,sport
101. El Harifa 2: El Remontada,7.1, (23),1h 30m,sport
102. Home Plate,5.4, (716),1h 57m,sport
103. Inazuma Eleven Movie: The Legendary Kickoff,6.9, (1.5K),1h 42m,sport
104. V de Victor,6.3, (56),1h 31m,sport
105. A Horse Named Winx,8.7, (214),1h 27m,sport
106. Loser is Winner,5.8, (6),1h 40m,sport
107. Faster: Only one lap,8.3, (22),3h,sport
108. Megdan: Between Water and Fire,6.9, (941),1h 38m,sport
109. Blue Star,7.8, (179),44m,sport
110. Clash of Dynasties: St. Edward vs Walsh Jesuit,5.4, (51),3h 15m,sport
111. Together: 4-in-a-Row,7.3, (24),1h 44m,sport
112. Gabru Gang,6.7, (90),1h 18m,sport
113. DitO,9.1, (472),1h 10m,sport
114. Golpe a Golpe (Blow by Blow),8.1, (413),1h 27m,sport
115. El Hareefa,7.2, (16),1h 22m,sport
116. Daley,6.4, (69),2h 30m,sport
117. Numéro 10,6.6, (170),1h 3m,sport
118. The Streak,6.6, (191),1h 2m,sport
119. A Game of Two Halves,7.1, (141),3h,sport
120. UFC 302: Makhachev vs. Poirier,6.9, (23),1h 30m,sport
121. Basketball Jones: The First Chapter,8.9, (19),1h 2m,sport
122. Phantom of the Ice,7.4, (80),26m,sport
"123. Hai, Romania!",7.8, (8),1h 50m,sport
124. Chong · Zhuang,7.5, (34),38m,sport
125. Welcome to the J-Rod Show,7.3, (16),1h 19m,sport
126. UFC 303: Pereira vs. Prochazka 2,6.8, (17),1h 30m,sport
127. Grudge,9.4, (83),1h 29m,sport
128. The Unbreakable Tatiana Suarez,4.9, (226),1h 46m,sport
129. Inazuma Eleven the Movie: Prologue to the New Heroes,7.3, (146),1h 52m,sport
130. Sport Gives Back Awards 2024,9.2, (11),1h 32m,sport
131. The Spoils: Selling the Future of American Basketball,6.2, (23),1h 25m,sport
132. Rafa Márquez: El Capitán,5.3, (40),1h 30m,sport
133. The Netflix Slam,9.3, (115),1h 15m,sport
134. Hatching Eagles,6.1, (93),1h 1m,sport
135. Anytime,7.6, (21),1h,sport
136. UFC 299: O'Malley vs. Vera 2,9.0, (15),1h 59m,sport
137. La valanga azzurra,6.0, (71),3h 20m,sport
138. The Road to OVC Champions,5.5, (24),1h 17m,sport
139. The Next Centimeter,8.9, (9),52m,sport
140. Ice Aged,8.3, (74),55m,sport
141. Ping pang nan hai,8.7, (26),1h 23m,sport
142. Trailblazers,6.4, (61),1h 15m,sport
143. Eclipse,8.3, (66),1h 39m,sport
144. Qajymuqan,5.5, (7),3h,sport
145. Beyond the Podium: Celebrating Canadian Women Champions,9.2, (51),1h 19m,sport
146. I am Al Ittihad,9.7, (7),1h 30m,sport
147. Linford,7.2, (16),2h 3m,sport
148. 1600 Meter,7.3, (9),1h 14m,sport
149. Quest for the Shield,6.5, (9),1h 30m,sport
150. Nos Amours: The Saga of the Montreal Expos,7.8, (22),2h 2m,sport
151. V potoke trekh stikhiy,6.5, (12),1h 30m,sport
152. The Incredibles,6.6, (6),55m,sport
153. For the Love of Basketball,6.0, (6),53m,sport
154. EL DESAFÍO IMPOSIBLE: LA CUMBRE DE LOS 7000 METROS,6.1, (15),30m,sport
155. Ice Cross: Life on the Edge,5.2, (12),1h 35m,sport
156. Fencing for the Edge,8.0, (24),1h 29m,sport
157. Battle of the Baddest,7.5, (16),3h 30m,sport
