Title,Rating,Votes,Duration,Genre
1. Heretic,7.0, (119K),1h 51m,thriller
2. Conclave,7.4, (131K),2h,thriller
3. Kraven the Hunter,5.4, (44K),2h 7m,thriller
4. Emilia Pérez,5.4, (84K),2h 12m,thriller
5. Babygirl,6.0, (47K),1h 54m,thriller
6. Trap,5.8, (130K),1h 45m,thriller
7. Venom: The Last Dance,6.0, (107K),1h 50m,thriller
8. Presence,6.2, (17K),1h 24m,thriller
9. Longlegs,6.6, (178K),1h 41m,thriller
10. Pushpa: The Rule - Part 2,6.1, (54K),3h 21m,thriller
11. September 5,7.1, (20K),1h 35m,thriller
12. Blink Twice,6.5, (100K),1h 42m,thriller
13. The Order,6.8, (37K),1h 56m,thriller
14. Elevation,5.6, (19K),1h 31m,thriller
15. Smile 2,6.7, (97K),2h 7m,thriller
16. Furiosa: A Mad Max Saga,7.5, (279K),2h 28m,thriller
17. Eden,6.1, (793),2h,thriller
18. Borderlands,4.7, (45K),1h 41m,thriller
19. Juror #2,7.0, (91K),1h 54m,thriller
20. Alien: Romulus,7.1, (237K),1h 59m,thriller
21. Hellboy: The Crooked Man,4.5, (12K),1h 39m,thriller
22. Subservience,5.4, (26K),1h 46m,thriller
23. Speak No Evil,6.8, (92K),1h 50m,thriller
24. Twisters,6.5, (160K),2h 2m,thriller
25. Civil War,7.0, (232K),1h 49m,thriller
26. The Count of Monte-Cristo,7.6, (32K),2h 58m,thriller
27. The Watchers,5.7, (55K),1h 42m,thriller
28. The Beekeeper,6.3, (153K),1h 45m,thriller
29. Carry-On,6.5, (159K),1h 59m,thriller
30. F*** Marry Kill,5.2, (1.8K),1h 37m,thriller
31. Abigail,6.6, (94K),1h 49m,thriller
32. Rebel Ridge,6.8, (85K),2h 11m,thriller
33. A Different Man,6.9, (27K),1h 52m,thriller
34. Joker: Folie à Deux,5.2, (156K),2h 18m,thriller
35. Wolfs,6.5, (79K),1h 48m,thriller
36. Homestead,5.4, (3.3K),1h 52m,thriller
37. The Crow,4.7, (32K),1h 51m,thriller
38. The Rule of Jenny Pen,6.5, (592),1h 44m,thriller
39. Kingdom of the Planet of the Apes,6.9, (149K),2h 25m,thriller
40. Road House,6.2, (165K),2h 1m,thriller
41. The Surfer,6.5, (603),1h 43m,thriller
42. Oddity,6.7, (40K),1h 38m,thriller
