Title,Rating,Votes,Duration,Genre
1. William Tell,5.8, (1.6K),2h 13m,war
2. The Ministry of Ungentlemanly Warfare,6.8, (131K),2h 2m,war
3. The Six Triple Eight,6.7, (25K),2h 7m,war
4. Dirty Angels,4.3, (3.1K),1h 44m,war
5. My Dead Friend Zoe,7.2, (1.1K),1h 43m,war
6. Nr. 24,7.5, (14K),1h 51m,war
7. Blitz,6.2, (16K),2h,war
8. Escape from Germany,5.3, (901),1h 37m,war
9. Amaran,8.2, (18K),2h 47m,war
10. Uprising,6.6, (5.3K),2h 6m,war
11. Before Dawn,5.4, (929),1h 41m,war
12. Chhava,8.6, (2.2K),51m,war
13. Goebbels and the Führer,6.7, (1.9K),2h 15m,war
14. Laws of Man,4.1, (322),1h 38m,war
15. The Witch: Revenge,5.3, (773),1h 40m,war
16. Murder Company,3.7, (1.5K),1h 26m,war
17. Decoded,5.8, (412),2h 36m,war
18. WWII: Operation Phoenix,6.7, (62),1h 46m,war
19. Without Blood,7.5, (88),1h 31m,war
"20. Love, Courage and the Battle of Bushy Run",5.0, (172),1h 53m,war
21. Quisling: The Final Days,7.1, (1K),2h 26m,war
22. Chandu Champion,7.8, (34K),2h 22m,war
23. The Last Front,5.5, (598),1h 38m,war
24. Bau: Artist at War,7.1, (52),2h 10m,war
25. Invasion,4.8, (664),1h 31m,war
26. Atatürk II: 1881-1919,8.9, (1.9K),2h 21m,war
"27. Canadian, Sniper",3.5, (346),1h 23m,war
28. Dharmarakshak Mahaveer Chhatrapati Sambhaji Maharaj,8.2, (651),2h 54m,war
29. The Volunteers: The Battle of Life and Death,6.2, (214),2h 24m,war
30. The Shamrock Spitfire,5.1, (470),1h 48m,war
31. Battlefield,6.2, (636),1h 44m,war
32. Ka Whawhai Tonu,7.4, (169),1h 55m,war
33. The Friendly,8.1, (15),1h 41m,war
34. Never Alone,7.2, (402),1h 25m,war
35. Orang Ikan,6.5, (31),1h 23m,war
36. The Yin Yang Master Zero,5.7, (257),1h 52m,war
37. Conquer: Lahad Datu,6.7, (495),2h,war
38. Aserb: The Squadron,5.2, (298),2h,war
39. Bozji gnjev,7.2, (58),1h 51m,war
40. Fortunes of War,3.5, (173),1h 25m,war
41. Red Poppies,4.7, (294),2h 2m,war
42. War Blade,3.9, (253),1h 34m,war
43. Ludzie,6.9, (41),1h 57m,war
44. White Courage,6.3, (607),1h 55m,war
45. Kang Mak,6.4, (758),2h 2m,war
46. Klitschko: More Than a Fight,6.3, (489),1h 36m,war
47. Occupied,7.9, (9),1h 17m,war
48. Call of Duty,6.5, (76),1h 30m,war
49. The Liberation Men,4.8, (176),1h 25m,war
50. Bardejov,4.8, (34),1h 23m,war
51. 24 Hours to D-Day,5.9, (189),1h 40m,war
"52. Dao, Pho Va Piano",5.5, (747),1h 54m,war
53. The Dugout,6.5, (112),1h 46m,war
54. Air War,6.9, (56),1h 35m,war
55. Duffle Bag Boy,5.8, (69),1h 32m,war
56. The Epidemic,7.0, (229),2h 9m,war
57. We Were Recruits,8.1, (20),1h 25m,war
58. Scars,1.8, (1K),1h 27m,war
59. Russians at War,2.2, (25),1h 22m,war
60. Haywire: Gunslingers,8.3, (12),1h 24m,war
61. Hengyang 1944,6.6, (12),1h 20m,war
62. The Mousetrap,7.2, (19),1h,war
"63. America, Invaded",6.6, (43),2h 8m,war
64. Burning Stars,9.6, (7),1h 33m,war
65. The Dakota War: Attack on Fort Ridgely,6.5, (40),1h 30m,war
66. Drava se ne predaje,5.2, (302),1h 41m,war
67. October 7 - Al Jazeera Investigations,7.7, (234),1h 27m,war
68. Hitler,6.5, (82),2h 40m,war
69. The Deserter,6.5, (9),2h 1m,war
70. Blood Vendetta,4.8, (220),2h 17m,war
71. Burgemeestersmoord,8.9, (63),1h 41m,war
"72. Arlempdes, la légende du premier château de la Loire",5.2, (122),58m,war
73. Pozyvnoy «Passazhir»,8.2, (14),1h 37m,war
74. Pidyomna syla,7.7, (46),1h 42m,war
75. Dun huang ying xiong,7.8, (14),1h 34m,war
76. Operation Thule,7.6, (34),2h 15m,war
77. Ukraine Mon Amour,7.6, (23),1h 32m,war
78. No Tomorrow,5.7, (24),1h 51m,war
79. El laberinto. La guerra secreta de España,6.9, (34),1h 30m,war
80. The West Sky,4.8, (19),1h 50m,war
81. Korni,8.2, (11),1h 40m,war
82. Eddy's oorlog,5.3, (18),12m,war
83. Village of Death: Oradour-sur-Glane 1944,6.6, (55),1h 2m,war
84. The Battle for Kyiv,7.4, (9),1h 18m,war
85. The Daughter,6.5, (9),1h 36m,war
86. Operation Star,7.6, (5),1h 4m,war
87. VC 571,7.2, (6),1h 33m,war
88. Jewish Revenge 6: Gaza in Focus,7.6, (5),1h 2m,war
"89. Gaza, since October 7",8.4, (7),47m,war
