Title,Rating,Votes,Duration,Genre
1. Horizon: An American Saga - Chapter 1,6.7, (39K),3h 1m,western
2. Rust,6.0, (165),2h 13m,western
3. Horizon: An American Saga - Chapter 2,7.1, (1.2K),3h 10m,western
4. The Thicket,5.8, (2.9K),1h 48m,western
5. The Unholy Trinity,7.9, (49),1h 33m,western
6. Pedro Páramo,6.3, (2.8K),2h 10m,western
7. Calamity Jane,4.4, (782),1h 35m,western
8. Golden Kamuy,6.3, (2.5K),2h 7m,western
9. Buffalo Kids,6.6, (628),1h 33m,western
10. Seven Cemeteries,4.5, (494),1h 24m,western
11. The Ballad of Davy Crockett,4.6, (244),1h 36m,western
12. Outlaw Posse,4.3, (513),1h 48m,western
13. Over the Red River,3.6, (73),1h 23m,western
14. Black Creek,3.0, (307),1h 56m,western
15. Taken from Rio Bravo,6.5, (480),1h 20m,western
16. Eye for an Eye 2,3.5, (136),1h 30m,western
17. The Guardsmen,5.0, (86),1h 44m,western
18. Unnatural,6.9, (77),1h 23m,western
19. Paradise,3.5, (426),1h 45m,western
20. The Night They Came Home,6.5, (321),1h 50m,western
21. Fyre Rises,3.3, (145),1h 21m,western
22. Ghosts of Red Ridge,5.5, (69),53m,western
23. Joe Crist,6.2, (22),1h 32m,western
24. They Call Her Death,3.5, (15),1h 14m,western
25. Andromeda: 1883,6.0, (10),1h 38m,western
26. Doc Holliday 2,5.0, (7),1h 50m,western
27. My Redneck Neighbor: Chapter 1 - The Rednecks Are Coming,8.5, (28),1h 44m,western
28. Same Old West,2.2, (74),1h 32m,western
29. Coyote Woman,9.3, (33),1h 16m,western
30. Was Once a Hero,3.2, (26),1h 28m,western
31. Bolero,6.8, (16),1h 23m,western
32. Lady Outlaw,7.6, (12),2h 36m,western
33. The Dakota War: Revenge,8.0, (12),51m,western
34. Oltre il confine,7.8, (25),1h 30m,western
35. Hinter dem Eisernen Horizont,6.0, (4.1K),1h 42m,western
36. Astral Plane Drifter,8.0, (10),2h 20m,western
37. Oro Amargo,6.4, (12),1h 56m,western
38. Doc Holliday 3,7.2, (35),1h 49m,western
39. Malaikottai Vaaliban,5.7, (89),1h 13m,western
40. Harsh Treatment,5.8, (33),1h 45m,western
41. A Almería de Leone,5.0, (101),1h 18m,western
42. The Ecstasy of Gold: The Treasure of Jesse James,3.5, (46),1h 20m,western
43. Escanyapobres,6.1, (57),1h 33m,western
44. Death After Dusk,6.4, (17),1h 11m,western
45. Searching for the Elephant,3.6, (86),58m,western
46. Zoloto Umalty,8.0, (10),1h 18m,western
47. Once Upon a Time in Amityville,6.5, (15),1h 1m,western
48. In Search of Bass Reeves,3.4, (84),1h 20m,western
49. Myall Creek Day of Justice,6.3, (8),33m,western
50. Dans l'ombre de Marlow,6.4, (5),1h 58m,western
51. The Film Café,9.1, (28),1h 28m,western
52. The Guardsmen: Part 2,8.8, (13),1h 25m,western
53. Ghost Town,9.0, (12),1h 24m,western
54. El Vaquero,7.3, (7),1h 31m,western
55. The forgotten Winchester,8.8, (9),1h,western
