Title,Rating,Votes,Duration,Genre
Kraven the Hunter,5.4,44000,127,action
Gladiator II,6.6,216000,148,action
Sonic the Hedgehog 3,6.9,52000,110,action
Venom: The Last Dance,6.0,107000,110,action
Dune: Part Two,8.5,612000,166,action
Pushpa: The Rule - Part 2,6.1,54000,201,action
William Tell,5.7,1600,133,action
Elevation,5.6,19000,91,action
The Lord of the Rings: The War of the Rohirrim,6.3,28000,134,action
The Ministry of Ungentlemanly Warfare,6.8,131000,122,action
Furiosa: A Mad Max Saga,7.5,279000,148,action
Deadpool & Wolverine,7.6,479000,128,action
Borderlands,4.7,45000,101,action
Hellboy: The Crooked Man,4.5,12000,99,action
Twisters,6.5,160000,122,action
Civil War,7.0,232000,109,action
Old Guy,5.1,1700,94,action
The Count of Monte-Cristo,7.6,32000,178,action
The Beekeeper,6.3,153000,105,action
Carry-On,6.5,159000,119,action
Marco,6.9,20000,145,action
The Fall Guy,6.8,216000,126,action
Rebel Ridge,6.8,85000,131,action
Homestead,5.4,3300,112,action
The Crow,4.7,32000,111,action
Thelma,7.0,21000,98,action
Kingdom of the Planet of the Apes,6.9,149000,145,action
Road House,6.2,165000,121,action
Red One,6.3,137000,123,action
Transformers One,7.6,47000,104,action
Solo Leveling: ReAwakening,8.7,6700,121,action
Bad Boys: Ride or Die,6.5,98000,115,action
Love Lies Bleeding,6.6,56000,104,action
Damsel,6.1,108000,110,action
Land of Bad,6.6,50000,113,action
The Killer's Game,5.7,16000,104,action
Argylle,5.6,91000,139,action
Madame Web,4.0,99000,116,action
Godzilla x Kong: The New Empire,6.1,119000,115,action
Dirty Angels,4.3,3100,104,action
The Union,5.4,52000,107,action
Monkey Man,6.8,90000,121,action
Aftermath,5.1,3400,97,action
Azrael,5.4,10000,86,action
Freaky Tales,6.4,362,106,action
Attack on Titan the Movie: The Last Attack,9.3,14000,145,action
Drive-Away Dolls,5.4,23000,84,action
Werewolves,4.4,6000,93,action
Uglies,4.7,32000,100,action
Kung Fu Panda 4,6.3,67000,94,action
Absolution,5.2,7400,112,action
Arcadian,5.5,22000,92,action
Blitz,6.2,16000,120,action
The Instigators,6.2,37000,101,action
Lift,5.5,49000,107,action
Beverly Hills Cop: Axel F,6.4,80000,118,action
The Killer,5.7,12000,126,action
Hitpig,5.1,827,86,action
Apocalypse Z: The Beginning of the End,6.1,19000,117,action
The Silent Hour,6.1,7000,99,action
Maharaja,8.4,65000,141,action
Classified,3.6,2200,105,action
Kalki 2898 AD,7.0,66000,180,action
Descendants: The Rise of Red,4.7,6900,91,action
Brothers,5.4,13000,89,action
Atlas,5.6,55000,118,action
Canary Black,5.4,11000,101,action
Baby John,5.4,17000,159,action
Survive,4.6,2000,90,action
Long Gone Heroes,5.2,966,101,action
Weekend in Taipei,5.7,4300,100,action
Watchmen: Chapter I,7.0,6300,83,action
Rebel Moon - Part Two: The Scargiver,5.3,59000,122,action
Gunner,3.2,2300,106,action
Hagen,6.1,1000,139,action
Jackpot!,5.8,30000,106,action
Cash Out,4.8,2800,92,action
Under Paris,5.2,36000,104,action
Levels,5.0,1400,93,action
Dominique,5.3,2100,100,action
The Shadow Strays,6.5,8900,144,action
Armor,3.5,3600,89,action
Trigger Warning,4.6,19000,106,action
Agents,3.7,887,82,action
Twilight of the Warriors: Walled In,7.0,8900,126,action
Aavesham,7.8,27000,155,action
Hounds of War,4.5,1700,95,action
Boneyard,4.1,4800,96,action
Jacob Tyler,4.8,43,133,action
Chief of Station,4.7,4400,97,action
Take Cover,5.1,2300,90,action
No Way Up,4.6,10000,90,action
Agent Recon,2.4,657,85,action
Red Right Hand,5.5,5700,111,action
11 Rebels,6.2,254,155,action
Watchmen: Chapter II,7.0,2700,90,action
Megamind vs. The Doom Syndicate,2.5,5500,83,action
Sunray: Fallen Soldier,4.3,580,115,action
Night Call,6.8,1700,97,action
Singham Again,4.8,75000,144,action
Damaged,4.7,7100,97,action
Amaran,8.2,18000,167,action
Role Play,5.5,19000,100,action
Vanvaas,6.7,1100,160,action
Trouble,6.2,6600,98,action
Echo 8,4.0,167,96,action
Rifle Club,7.0,3900,113,action
Dark Match,5.5,828,94,action
"I, the Executioner",6.3,1600,118,action
Prey,3.7,3200,86,action
Code 8: Part II,5.7,16000,100,action
My Hero Academia: You're Next,7.0,1900,110,action
Justice League: Crisis on Infinite Earths - Part One,6.2,8300,93,action
City Hunter,6.3,5500,102,action
Uprising,6.6,5300,126,action
River of Blood,5.4,1500,86,action
My Spy: The Eternal City,5.7,11000,112,action
Duchess,4.6,1200,114,action
Harbin,6.5,483,108,action
Max,7.1,3200,132,action
Badland Hunters,5.9,12000,107,action
The Courier,6.0,4300,101,action
Justice League: Crisis on Infinite Earths - Part Three,6.1,4300,94,action
The Tiger's Apprentice,5.7,2100,84,action
Sikandar Ka Muqaddar,6.0,24000,142,action
Drive Back,4.7,286,94,action
The Lost Tiger,7.8,33,90,action
The Price of Money: A Largo Winch Adventure,5.1,1100,100,action
The Fix,4.6,1100,98,action
Joe Baby,8.2,26,86,action
The Roundup: Punishment,6.6,5000,109,action
One More Shot,5.4,3500,103,action
Arena Wars,5.0,2000,96,action
Mafia Wars,3.4,211,94,action
Raayan,6.5,11000,145,action
Elyas,6.1,1300,105,action
Fighter,6.2,52000,166,action
Striking Rescue,5.7,337,106,action
Lights Out,4.9,1700,90,action
Article 370,7.8,24000,158,action
Devara Part 1,6.0,20000,176,action
200% Wolf,6.0,1300,98,action
Officer Black Belt,6.8,7900,108,action
Simarik,6.4,2300,111,action
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,7.1,8300,104,action
Air Force One Down,4.4,2800,84,action
The Wages of Fear,4.6,4000,104,action
The Prosecutor,6.8,1400,117,action
Kill Em All 2,4.1,1300,88,action
The Quiet Ones,6.5,517,110,action
Khadaan,7.4,2000,137,action
Darkness of Man,4.8,3100,109,action
Operation Blood Hunt,3.4,455,93,action
Rats!,8.0,77,85,action
Ultraman: Rising,6.9,6200,117,action
Jigra,6.0,23000,153,action
One Fast Move,5.0,2200,108,action
Angels Fallen: Warriors of Peace,4.9,5800,103,action
The Last Kumite,4.6,2300,105,action
Murder Company,3.7,1500,86,action
Panda Plan,5.1,1100,99,action
Karma,8.1,1400,167,action
Bougainvillea,6.4,3000,138,action
Golden Kamuy,6.3,2500,127,action
Cloud,6.3,892,123,action
Pani,6.9,2800,143,action
Utopia,3.7,338,91,action
Latency,4.2,1700,94,action
Murder at Hollow Creek,4.2,78,70,action
The Thundermans Return,5.0,1800,110,action
Death Whisperer 2,6.4,1300,83,action
Dan Da Dan: First Encounter,8.2,2600,135,action
Everybody Loves Jenifa,8.4,77,94,action
Justice League: Crisis on Infinite Earths - Part Two,5.5,5200,136,action
Sucha Soorma,6.5,908,110,action
Freedom,5.9,1300,106,action
WWII: Operation Phoenix,6.7,62,84,action
Anaconda,4.9,600,159,action
The Family Star,5.4,5400,78,action
My Fathers' Daughter,6.6,71,92,action
Die Hart 2: Die Harter,4.3,5400,126,action
Life After Fighting,6.4,1900,158,action
Hanu Man,7.7,29000,94,action
Ferry 2,5.6,3700,96,action
Wynonna Earp: Vengeance,5.6,1500,97,action
Fight Another Day,5.1,325,85,action
Wanted Man,4.8,2500,100,action
Hijack 1971,6.8,3200,88,action
Terminator: Skynet Rising,6.8,258,183,action
The Greatest of All Time,5.7,22000,86,action
Alien: Rubicon,2.4,328,88,action
Zero,6.1,38,166,action
Saripodhaa Sanivaaram,7.0,8800,95,action
The Clean Up Crew,4.1,1100,88,action
Sixty Minutes,5.7,5100,94,action
Escape,6.4,1900,166,action
Razakar: The Silent Genocide of Hyderabad,7.4,5300,82,action
Outlaw,5.2,902,170,action
Viduthalai Part 2,8.0,15000,114,action
Revolver,5.4,818,88,action
Snow White and the Seven Samurai,3.2,263,96,action
The Ballad of Davy Crockett,4.6,244,92,action
The Hangman,3.3,985,126,action
Savi,6.2,35000,122,action
Agni,7.3,15000,78,action
Spiders on a Plane,5.7,360,113,action
"Love, Courage and the Battle of Bushy Run",5.0,171,129,action
A Legend,4.7,854,152,action
Kanguva,4.5,14000,80,action
Baby Invasion,5.8,63,101,action
Handsome Guys,6.5,747,87,action
72 Hours,4.1,279,109,action
Cells at Work!,6.8,168,86,action
The Slave and the Sorcerer,6.7,37,105,action
Heart of the Hunter,4.7,2100,158,action
Bagheera,6.7,7300,142,action
Chandu Champion,7.8,34000,98,action
The Last Front,5.5,597,109,action
London Calling,7.5,17,117,action
The Lockdown,4.3,595,163,action
Vettaiyan,7.0,39000,113,action
Cassino in Ischia,4.4,229,145,action
Vedaa,6.0,4200,113,action
40 Acres,6.5,101,135,action
Overlord: The Sacred Kingdom,7.0,698,92,action
Nice Girls,4.2,1200,90,action
Roadkill,3.6,672,100,action
Crosspoint,7.6,24,150,action
A.R.M,7.1,8500,81,action
Don't Mess with Grandma,6.1,143,100,action
GTMax,5.0,1200,91,action
Invasion,4.8,664,88,action
Get Fast,3.6,434,115,action
Big Rage,3.6,151,129,action
Mura,7.3,6200,131,action
Alangu,8.3,1100,116,action
Black Creek,3.6,274,96,action
12 to Midnight,5.4,1200,87,action
Non Negotiable,3.0,174,84,action
War of the Worlds: Extinction,6.1,2500,105,action
Mission: Cross,6.6,4100,88,action
How to Rob a Bank,6.7,407,136,action
Cesium Fallout,8.2,650,174,action
Dharmarakshak Mahaveer Chhatrapati Sambhaji Maharaj,4.9,224,121,action
The Last Ronin,7.1,6100,145,action
Toofan,6.3,862,147,action
12 Gaun,3.5,532,88,action
Continental Split,8.9,73,93,action
Black Heat,5.4,25000,159,action
Guntur Kaaram,5.4,774,90,action
Devil's Knight,6.6,6500,156,action
Thangalaan,2.5,314,86,action
The Twisters,3.8,39000,163,action
Bade Miyan Chote Miyan,4.3,1700,110,action
Bionic,6.9,3600,129,action
Yolo,5.8,503,119,action
High Forces,5.9,296,105,action
School of Magical Animals 3,6.3,13,64,action
The Last of Us: Immunity,7.1,1200,145,action
Kingdom 4: Return of the Great General,8.3,3900,140,action
Bachhala Malli,4.7,6500,154,action
Crakk: Jeetega... Toh Jiyegaa,6.9,5600,135,action
UI,6.5,809,98,action
Escape from the 21st Century,3.0,307,80,action
Taken from Rio Bravo,7.4,1300,146,action
Sector 17,5.1,199,108,action
Diabel,4.0,304,101,action
Art of Eight Limbs,6.5,479,90,action
Eye for an Eye 2,6.1,633,101,action
The Charisma Killers,5.6,537,121,action
Pimpinero: Blood and Oil,5.7,8800,130,action
Yodha,1.8,636,80,action
Ryan's World the Movie: Titan Universe Adventure,5.7,814,106,action
Dreams,6.1,111,132,action
Je Jatt Vigarh Gya,7.4,169,90,action
Blade of Fury,8.1,15,115,action
Ka Whawhai Tonu,5.4,786,101,action
The Friendly,5.8,147,154,action
Dange,6.5,2500,106,action
The Firefighters,5.6,506,122,action
Alienoid: The Return to the Future,6.9,77,109,action
Hunting with Tigers,8.9,2700,83,action
Paradise,5.9,413,128,action
Devaki Nandana Vasudeva,4.3,488,90,action
Deaner '89,9.2,46,103,action
Hellhound,6.6,40000,80,action
Bloodline,8.7,572,150,action
Auron Mein Kahan Dum Tha,3.4,247,94,action
Reapers,6.5,1000,129,action
Shark Warning,5.5,72,90,action
Jathara,4.9,206,101,action
Nothing Even Matters,6.4,434,81,action
Snatched,5.7,74,81,action
No Time to Spy: A Loud House Movie,4.6,350,110,action
Memes & Nightmares,6.5,321,110,action
Operation Undead,5.1,21,80,action
Fyre Rises,3.6,5200,150,action
Witch Hunter,4.1,502,123,action
Mr. Bachchan,2.3,36000,147,action
Martin,6.0,4000,155,action
The Unbreakable Bunch,8.2,547,122,action
Ayalaan,6.7,691,120,action
Rajakili,6.2,17,142,action
Crisis Negotiators,5.0,13000,103,action
Timuchin,7.3,268,85,action
Yudhra,6.3,95,138,action
Baby Assassins: Nice Days,6.6,1300,128,action
Bangkok Dog,3.3,722,137,action
Sorgavaasal,6.6,3400,66,action
The Actor,2.0,167,159,action
Tillu Square,5.9,4900,83,action
Mummy Shark,6.5,31,164,action
Eagle,8.0,3200,72,action
Orang Ikan,5.2,447,115,action
Zebra,5.4,460,44,action
S.T.A.L.K.E.R.: Shadow of the Zone,4.9,913,133,action
Customs Frontline,7.9,85,148,action
Rogue Elements: A Ryan Drake Story,8.3,2700,101,action
The Kingdom,3.6,361,115,action
Pottel,4.8,16,95,action
Lady Scorpions,8.6,1700,100,action
The Legend Hunters,5.1,106,134,action
Fighting the Fire,2.3,161,99,action
Team of Two,5.1,251,124,action
Ballistic,7.5,184,143,action
(Pri)sons,3.6,241,120,action
Xiong Shi Shao Nian 2,6.6,923,154,action
Rendel: Cycle of Revenge,3.9,16000,107,action
Mobile Suit Gundam SEED Freedom,5.5,230,133,action
Indian 2,6.7,495,83,action
Gandhi 3,6.4,2900,96,action
Conquer: Lahad Datu,6.5,58,45,action
Siren,7.1,3300,155,action
Raqa,2.0,349,75,action
Garudan,8.1,185,62,action
Road Wars: Max Fury,8.0,1000,120,action
Clone Cops,3.5,942,168,action
Reloaded 2,6.2,66,137,action
Barroz: Guardian of Treasures,5.7,1900,87,action
Kuang Bao Ju Xi,5.3,29,102,action
Baki Hanma VS Kengan Ashura,6.6,421,120,action
Abudeka Is Back,3.8,339,146,action
Rode College,2.7,128,65,action
Buddy,7.0,442,113,action
Ape X Mecha Ape: New World Order,5.2,298,90,action
Kahar: Kapla High Council,5.8,652,155,action
Aserb: The Squadron,7.4,60,85,action
Bangkok Breaking: Heaven and Hell,5.9,141,81,action
Hotel Underground,4.5,217,100,action
Kamen Rider 555 20th: Paradise Regained,6.0,27,90,action
Bonus Trip,5.9,3500,96,action
Stranded Pearl,7.0,64,135,action
Turbo,3.3,145,144,action
Exorcism Chronicles: The Beginning,5.9,139,150,action
Ghosts of Red Ridge,5.7,312,128,action
Desperado,5.0,75,133,action
Drive,6.2,747,99,action
The Mick and the Trick,5.9,1700,156,action
Love You to Debt,4.8,7400,126,action
Mission: Chapter 1,7.3,1100,99,action
Bhaiyya Ji,6.9,1100,133,action
Premalo,2.3,361,93,action
Sheriff,6.5,3400,136,action
Kill Craft,6.6,1000,0,action
Mechanic Rocky,4.4,187,88,action
Anchakkallakokkan,5.3,1400,40,action
The Miranda Brothers,4.6,228,88,action
Operation Valentine,6.4,274,174,action
Prepare to Die,6.2,529,99,action
Naam,4.4,251,181,action
Big City Greens the Movie: Spacecation,6.1,387,157,action
Sayen: The Huntress,2.8,293,98,action
Neon Fear,8.8,144,70,action
Ship of the Damned,4.8,745,136,action
Rang De Basanti,7.1,830,98,action
The Infallibles,6.5,8600,150,action
Oru Anveshanathinte Thudakkam,6.7,33,110,action
Captain Miller,3.3,82,155,action
Spirit Riser,6.1,542,148,action
Camp Blood: Clown Shark,8.0,31,120,action
Bhaje Vaayu Vegam,3.3,373,172,action
Ten Toes Down,7.9,79,135,action
Kung Fu Games,7.0,22,97,action
Hrashwo Deergha,6.7,401,96,action
Operation Hope,8.5,63,80,action
Troubleshooters,9.2,375,129,action
Sasan,3.3,1200,105,action
Bidurbhai,7.6,136,92,action
Ruslaan,5.8,971,90,action
Samandar,6.5,69,153,action
Sentimentaaal,9.1,31,138,action
The Grey Men,3.3,47,0,action
Losing Lerato 2,8.4,5400,90,action
Mother Mafia,7.2,58,109,action
Sabari,2.8,6,96,action
Ghost Killer,6.2,22,113,action
Day Off,6.4,31,146,action
They Call Her Death,5.8,834,102,action
Pusaka,5.1,1600,84,action
Yuva,5.6,82,116,action
Saindhav,8.5,132,90,action
How to Make a Werewolf,6.5,83,134,action
Angel of the Warrior,7.4,832,55,action
Day Labor,5.8,433,151,action
Son's Will,4.7,101,95,action
Breaking and Re-entering,6.3,5200,147,action
Cholo Zombies,5.5,382,75,action
Bandaa Singh Chaudhary,3.5,15,90,action
Taklee Genesis x Worlds Collide,5.3,106,140,action
Andromeda: 1883,7.0,259,156,action
Hunt the Wicked,4.8,100,133,action
Buying Time,4.4,87,78,action
The Burden of Nine Lives,5.3,199,78,action
The Circuit 4: Faith Fighter,7.2,1500,88,action
The Traveller,6.3,96,96,action
My Redneck Neighbor: Chapter 2 - Let the Games Begin,2.9,151,94,action
KA,9.0,603,104,action
Six jours,5.3,2300,96,action
Ruthless,4.7,572,150,action
Bull Shark 2,4.5,416,148,action
Where Is Gilgamesh?,4.2,81,131,action
Game On,6.8,13,104,action
Matka,2.0,179,155,action
